ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	97.95870504639804	97.95870504639804	97.95870504639804	97.95870504639804
1	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
2	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
3	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
4	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
5	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
6	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
7	97.95769452761998	97.95769452761998	97.95819978700902	97.95870504639804
8	97.95819963921628	97.95769452761998	97.95828397227505	97.95870504639804
9	97.95819963921628	97.95769452761998	97.95832606490809	97.95870504639804
10	97.95819963921628	97.95769452761998	97.95832606490809	97.95870504639804
