Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;365252.7813;0.002307357;12.4886837;;;0.230793834;;;12.48837757;;;0.274742216;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318.625;0.0006989;12.48864841;;;1.516790986;;;12.48837757;;;0.274742216;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;259159.5625;0.004381684;12.48871803;;;0.10498292;;;12.48837757;;;0.274742216;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894.375;0.001994371;12.48169613;;;1.65604043;;;12.48837757;;;0.274742216;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;302471.9375;0.02366841;12.47808456;;;0.118038617;;;12.48837757;;;0.274742216;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;396175.1563;0.000276617;41.6627655;;;0.701702178;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;365252.7813;0.002307357;41.6627655;;;1.530691385;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318.625;0.0006989;41.6627655;;;0.894075811;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;259159.5625;0.004381684;41.6627655;;;1.25486958;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894.375;0.001994371;41.6627655;;;0.952462614;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;302471.9375;0.02366841;41.6627655;;;1.296797752;;;41.66257095;;;0.601670265;;;¯Germany;;;;;;;
