Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.100482568;0.28538087;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;3.800338745;0.719647229;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.228207275;0.719647229;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;4.821455479;0.911093831;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.270434707;0.911093831;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;5.513703823;1.041274905;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.30435729;1.041274905;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;6.010380745;1.134728193;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.329167902;1.134728193;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;6.311487198;1.191575408;;;;;;
