Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:19:47	12:19:47	12:19:47			12:19:48	12:19:48	12:19:48	12:19:48	12:19:48	12:19:50	12:19:50	12:19:50	12:19:50	12:19:50	12:19:50			12:19:51	12:19:51		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
1	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:52	12:19:54	12:19:54	12:19:54	12:19:54	12:19:54	12:19:54			12:19:55	12:19:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	12:19:56	12:19:56	12:19:56	12:19:56	12:19:56	12:19:56			12:19:56	12:19:56	12:19:57	12:19:57	12:19:57	12:19:57	12:19:57	12:19:57			12:19:58	12:19:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	12:19:59	12:19:59	12:19:59	12:19:59	12:19:59	12:19:59			12:19:59	12:19:59	12:20:00	12:20:00	12:20:00	12:20:00	12:20:00	12:20:00			12:20:01	12:20:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	12:20:01	12:20:01	12:20:01	12:20:01	12:20:01	12:20:01			12:20:01	12:20:01	12:20:03	12:20:03	12:20:03	12:20:03	12:20:03	12:20:03			12:20:04	12:20:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	12:20:04	12:20:04	12:20:04	12:20:04	12:20:04	12:20:04			12:20:04	12:20:04	12:20:06	12:20:06	12:20:06	12:20:06	12:20:06	12:20:06			12:20:07	12:20:07		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	12:20:07	12:20:07	12:20:07	12:20:07	12:20:07	12:20:07			12:20:07	12:20:07	12:20:09	12:20:09	12:20:09	12:20:09	12:20:09	12:20:09			12:20:10	12:20:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	12:20:10	12:20:10	12:20:10	12:20:10	12:20:10	12:20:10			12:20:10	12:20:10	12:20:12	12:20:12	12:20:12	12:20:12	12:20:12	12:20:12			12:20:13	12:20:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
8	12:20:13	12:20:13	12:20:13	12:20:13	12:20:13	12:20:13			12:20:13	12:20:13	12:20:15	12:20:15	12:20:15	12:20:15	12:20:15	12:20:15			12:20:16	12:20:16		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
9	12:20:16	12:20:16	12:20:16	12:20:16	12:20:16	12:20:16			12:20:16	12:20:16	12:20:17	12:20:17	12:20:17	12:20:17	12:20:17	12:20:17			12:20:18	12:20:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:19	12:20:20	12:20:20	12:20:20	12:20:20	12:20:20	12:20:20	12:20:20	12:20:20	12:20:21	12:20:21		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
