ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	45.45336766406014	45.45336766406014	45.45336766406014	45.45336766406014
1	45.45525093261359	45.454408127163546	45.45482952988856	45.45525093261359
2	45.4553172917871	45.45447448633706	45.45489588906208	45.4553172917871
3	45.45609373806362	45.45468906412708	45.455391401095355	45.45609373806362
4	45.4563590982702	45.45468906412708	45.45552408119865	45.4563590982702
5	45.4563590982702	45.45468906412708	45.45552408119865	45.4563590982702
6	45.4563590982702	45.45468906412708	45.45552408119865	45.4563590982702
7	45.4563590982702	45.45468906412708	45.45556830789974	45.4563590982702
8	45.4563590982702	45.45468906412708	45.45556830789974	45.4563590982702
9	45.4563590982702	45.45468906412708	45.45556830789974	45.4563590982702
10	45.4563590982702	45.45468906412708	45.45556830789974	45.4563590982702
