ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	99.24886317960005	99.24886317960005	99.24886317960005	99.24886317960005
1	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
2	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
3	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
4	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
5	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
6	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
7	99.24785266082198	99.24785266082198	99.24835792021102	99.24886317960005
8	99.2483577724183	99.24785266082198	99.24844210547707	99.24886317960005
9	99.2483577724183	99.24785266082198	99.24848419811009	99.24886317960005
10	99.2483577724183	99.24785266082198	99.24848419811009	99.24886317960005
