bin	count
-2.007368266E9	1.0
-2.007164486E9	1.0
-2.006959802E9	1.0
-1.994199636E9	1.0
-1.33004487E9	1.0
-1.329731538E9	1.0
-1.233018574E9	1.0
-1.232638296E9	1.0
-1.23244668E9	1.0
-1.232063246E9	1.0
-1.23205546E9	1.0
-1.231664838E9	1.0
-1.230503488E9	1.0
-1.230355028E9	1.0
-1.230069276E9	1.0
-1.210616086E9	1.0
-9.15694854E8	1.0
-8.61604192E8	1.0
-7.27921476E8	1.0
-7.2772282E8	1.0
-7.2751868E8	1.0
0.0	86.0
2.0	3.0
4.0	5.0
6.0	4.0
14.0	3.0
22.0	1.0
24.0	1.0
32.0	1.0
36.0	1.0
38.0	1.0
58.0	2.0
64.0	1.0
70.0	1.0
74.0	1.0
80.0	1.0
82.0	1.0
90.0	1.0
100.0	1.0
116.0	1.0
130.0	2.0
138.0	1.0
144.0	1.0
162.0	1.0
182.0	1.0
184.0	1.0
194.0	1.0
230.0	1.0
254.0	1.0
288.0	1.0
340.0	1.0
400.0	1.0
408.0	1.0
470.0	1.0
478.0	1.0
532.0	1.0
560.0	1.0
564.0	1.0
582.0	1.0
614.0	1.0
620.0	1.0
680.0	1.0
706.0	1.0
760.0	2.0
770.0	1.0
854.0	1.0
884.0	1.0
902.0	1.0
926.0	2.0
1024.0	1.0
1030.0	1.0
1034.0	1.0
1112.0	1.0
1210.0	1.0
1376.0	1.0
1444.0	1.0
1576.0	1.0
1654.0	1.0
1726.0	1.0
1830.0	1.0
1840.0	1.0
1974.0	1.0
1984.0	1.0
1990.0	1.0
2070.0	1.0
2090.0	1.0
2174.0	1.0
2208.0	1.0
2218.0	1.0
2272.0	1.0
2340.0	1.0
2532.0	1.0
2540.0	1.0
2640.0	1.0
2674.0	1.0
2694.0	1.0
2866.0	1.0
2956.0	1.0
3098.0	1.0
3204.0	1.0
3240.0	1.0
3316.0	1.0
3320.0	1.0
3406.0	1.0
3458.0	1.0
3624.0	1.0
3668.0	1.0
3868.0	1.0
4236.0	1.0
4284.0	1.0
4294.0	1.0
4308.0	1.0
4314.0	1.0
4416.0	1.0
4584.0	1.0
4698.0	1.0
4720.0	1.0
4752.0	1.0
4944.0	1.0
5098.0	1.0
5136.0	1.0
5150.0	1.0
5194.0	1.0
5218.0	1.0
5622.0	1.0
5840.0	1.0
6008.0	1.0
6050.0	1.0
6078.0	1.0
6152.0	1.0
6490.0	1.0
6550.0	1.0
6552.0	1.0
6674.0	1.0
6756.0	1.0
6786.0	1.0
6840.0	1.0
7074.0	1.0
7424.0	1.0
7472.0	1.0
7560.0	1.0
8012.0	1.0
8082.0	1.0
8116.0	1.0
8252.0	1.0
8480.0	1.0
8590.0	1.0
8850.0	1.0
9142.0	1.0
9410.0	1.0
9548.0	1.0
10264.0	1.0
10288.0	1.0
10720.0	1.0
10960.0	1.0
11002.0	1.0
11064.0	1.0
12026.0	1.0
12238.0	1.0
12416.0	1.0
12544.0	1.0
12576.0	1.0
12990.0	1.0
13156.0	1.0
13338.0	1.0
13346.0	1.0
13604.0	1.0
13682.0	1.0
13814.0	1.0
14078.0	1.0
14188.0	1.0
14358.0	1.0
14536.0	1.0
15036.0	1.0
15320.0	1.0
15348.0	1.0
15976.0	1.0
16156.0	1.0
16818.0	1.0
16920.0	1.0
17084.0	1.0
17208.0	1.0
17294.0	1.0
18432.0	1.0
18798.0	1.0
19204.0	1.0
19824.0	1.0
19920.0	1.0
20096.0	1.0
20118.0	1.0
20158.0	1.0
20850.0	1.0
21586.0	1.0
21948.0	1.0
21958.0	1.0
23012.0	1.0
23568.0	1.0
23898.0	1.0
24346.0	1.0
24660.0	1.0
24664.0	1.0
25364.0	1.0
25470.0	1.0
25526.0	1.0
25688.0	1.0
25882.0	1.0
25996.0	1.0
