bin	count
-1.980206548E9	1.0
-1.980104202E9	1.0
-1.972252044E9	1.0
-1.972057284E9	1.0
-1.933509568E9	1.0
-1.927333298E9	1.0
-1.348156452E9	1.0
-1.339426852E9	1.0
-1.33939172E9	1.0
-1.33932264E9	1.0
-1.239725998E9	1.0
-1.220768316E9	1.0
-1.22044639E9	1.0
-1.22040407E9	1.0
-1.218865742E9	1.0
-1.218110256E9	1.0
-1.21744842E9	1.0
-1.216694532E9	1.0
-1.215277538E9	1.0
-1.214519848E9	1.0
-1.213928394E9	1.0
-1.210808198E9	1.0
-4.7066716E7	1.0
0.0	52.0
2.0	2.0
4.0	1.0
6.0	1.0
12.0	1.0
16.0	3.0
18.0	1.0
44.0	1.0
72.0	1.0
104.0	1.0
118.0	1.0
144.0	1.0
160.0	1.0
174.0	1.0
254.0	1.0
262.0	1.0
296.0	1.0
540.0	1.0
692.0	1.0
704.0	1.0
722.0	1.0
942.0	1.0
1076.0	1.0
1112.0	1.0
1224.0	1.0
1368.0	1.0
1376.0	1.0
1420.0	1.0
1484.0	1.0
1492.0	1.0
1538.0	1.0
1590.0	1.0
1592.0	1.0
1622.0	1.0
1672.0	1.0
1704.0	1.0
1904.0	1.0
1918.0	1.0
1966.0	1.0
1988.0	1.0
1990.0	1.0
2098.0	1.0
2390.0	1.0
2456.0	1.0
2484.0	1.0
2608.0	1.0
2620.0	1.0
2646.0	1.0
2926.0	1.0
3312.0	1.0
3332.0	1.0
3418.0	1.0
3522.0	1.0
3638.0	1.0
3686.0	1.0
3920.0	1.0
4210.0	1.0
4408.0	2.0
4616.0	1.0
4732.0	1.0
5744.0	1.0
5916.0	1.0
5922.0	1.0
6594.0	1.0
6836.0	1.0
7188.0	1.0
7812.0	1.0
8358.0	1.0
8454.0	1.0
8518.0	1.0
8962.0	1.0
9232.0	1.0
9374.0	1.0
9572.0	1.0
10954.0	1.0
11058.0	1.0
11580.0	1.0
11918.0	1.0
11948.0	1.0
12232.0	1.0
13158.0	1.0
13450.0	1.0
13498.0	1.0
13798.0	1.0
13938.0	1.0
14246.0	1.0
14294.0	1.0
14480.0	1.0
15198.0	1.0
15854.0	1.0
16620.0	1.0
17632.0	1.0
17840.0	1.0
18072.0	1.0
18552.0	1.0
18702.0	1.0
18766.0	1.0
19554.0	1.0
19778.0	1.0
20562.0	1.0
20824.0	1.0
20842.0	1.0
20904.0	1.0
21250.0	1.0
21480.0	1.0
21500.0	1.0
21824.0	1.0
21842.0	1.0
22296.0	1.0
22350.0	1.0
23526.0	1.0
23568.0	1.0
23936.0	1.0
24102.0	1.0
24740.0	1.0
24770.0	1.0
25604.0	1.0
25630.0	1.0
26204.0	1.0
26472.0	1.0
27268.0	1.0
27812.0	1.0
28028.0	1.0
28378.0	1.0
28754.0	1.0
28790.0	1.0
30190.0	1.0
30248.0	1.0
31228.0	1.0
31326.0	1.0
31438.0	1.0
31600.0	1.0
31672.0	1.0
32666.0	1.0
32702.0	1.0
33028.0	1.0
33436.0	1.0
33584.0	1.0
34144.0	1.0
34654.0	1.0
34838.0	1.0
35126.0	1.0
36484.0	1.0
36534.0	1.0
37046.0	1.0
37576.0	1.0
38942.0	1.0
40498.0	1.0
41086.0	1.0
41240.0	1.0
41290.0	1.0
41772.0	1.0
41830.0	1.0
42600.0	1.0
42858.0	1.0
43622.0	1.0
43988.0	1.0
44202.0	1.0
44766.0	1.0
45752.0	1.0
45878.0	1.0
46328.0	1.0
46466.0	1.0
46550.0	1.0
46690.0	1.0
48442.0	1.0
49300.0	1.0
50840.0	1.0
51438.0	1.0
52340.0	1.0
52378.0	1.0
52394.0	1.0
55664.0	1.0
55706.0	1.0
56426.0	1.0
57422.0	1.0
57486.0	1.0
57946.0	1.0
58674.0	1.0
58756.0	1.0
59904.0	1.0
59984.0	1.0
61450.0	1.0
61468.0	1.0
63246.0	1.0
63392.0	1.0
63550.0	1.0
64420.0	1.0
65088.0	1.0
65188.0	1.0
65316.0	1.0
65512.0	1.0
65638.0	1.0
66846.0	1.0
68162.0	1.0
69770.0	1.0
69854.0	1.0
70472.0	1.0
70776.0	1.0
71064.0	1.0
71878.0	1.0
72070.0	1.0
72390.0	1.0
72720.0	1.0
73352.0	1.0
76736.0	1.0
78086.0	1.0
79708.0	1.0
80616.0	1.0
82418.0	1.0
82470.0	1.0
84666.0	1.0
84754.0	1.0
87660.0	1.0
87904.0	1.0
88374.0	1.0
88996.0	1.0
91934.0	1.0
92786.0	1.0
92976.0	1.0
93628.0	1.0
94758.0	1.0
96890.0	1.0
97070.0	1.0
97686.0	1.0
97818.0	1.0
100162.0	1.0
101482.0	1.0
101510.0	1.0
102234.0	1.0
104694.0	1.0
104698.0	1.0
105532.0	1.0
105922.0	1.0
106242.0	1.0
108030.0	1.0
108054.0	1.0
108662.0	1.0
110492.0	1.0
111306.0	1.0
111864.0	1.0
114074.0	1.0
115322.0	1.0
116820.0	1.0
117736.0	1.0
119088.0	1.0
120144.0	1.0
120238.0	1.0
121764.0	1.0
122968.0	1.0
124110.0	1.0
124152.0	1.0
124560.0	1.0
126874.0	1.0
129078.0	1.0
130450.0	1.0
131202.0	1.0
133302.0	1.0
133752.0	1.0
134318.0	1.0
134590.0	1.0
136754.0	1.0
138020.0	1.0
145718.0	1.0
146130.0	1.0
146916.0	1.0
149044.0	1.0
151824.0	1.0
152514.0	1.0
152984.0	1.0
154216.0	1.0
154254.0	1.0
154634.0	1.0
155818.0	1.0
158052.0	1.0
159778.0	1.0
162828.0	1.0
163658.0	1.0
164838.0	1.0
166136.0	1.0
166250.0	1.0
166628.0	1.0
169756.0	1.0
172926.0	1.0
173200.0	1.0
174540.0	1.0
175104.0	1.0
177312.0	1.0
177930.0	1.0
181362.0	1.0
181870.0	1.0
183766.0	1.0
183852.0	1.0
