bin	count
-2.112115178E9	1.0
-2.11171333E9	1.0
-2.055429122E9	1.0
-2.019122606E9	1.0
-1.971114484E9	1.0
-1.958757508E9	1.0
-1.354335272E9	1.0
-1.353148518E9	1.0
-1.325300636E9	1.0
-1.27929622E9	1.0
-9.29131204E8	1.0
3.4401414E7	1.0
4.9809744E7	1.0
1.06667482E8	1.0
1.43377184E8	1.0
2.05737856E8	1.0
2.28417382E8	1.0
2.60832808E8	1.0
2.61076712E8	1.0
2.74949716E8	1.0
2.81701934E8	1.0
4.37276208E8	1.0
4.49178478E8	1.0
4.68972572E8	1.0
4.80805902E8	1.0
5.92814926E8	1.0
6.5935036E8	1.0
7.51100314E8	1.0
7.70969234E8	1.0
8.34594922E8	1.0
8.66875922E8	1.0
9.68025732E8	1.0
1.183478076E9	1.0
1.211257494E9	1.0
1.240479966E9	1.0
1.396074616E9	1.0
1.468759788E9	1.0
1.469091366E9	1.0
1.501518858E9	1.0
1.502757368E9	1.0
1.681019966E9	1.0
1.689086808E9	1.0
1.853706028E9	1.0
1.863558284E9	1.0
1.863883138E9	1.0
1.875474664E9	1.0
1.990176854E9	1.0
1.998319366E9	1.0
2.071526324E9	1.0
2.071596868E9	1.0
2.087343396E9	1.0
2.104350876E9	1.0
2.10467303E9	1.0
2.11274545E9	1.0
