Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;051;Übrige Kreise (Regierungsbezirk);46;39;7;40;6;*;
;;051;Reg.-Bez. Düsseldorf;117;86;31;92;25;*;
;;05314;Bonn, Stadt;23;9;14;17;6;-;
;;05315;Köln, Stadt;36;20;16;28;8;*;
;;05362;Rhein-Erft-Kreis;10;*;*;*;*;-;
;;05374;Oberbergischer Kreis;50;41;9;44;6;-;
;;053;Übrige Kreise (Regierungsbezirk);34;19;15;30;4;-;
;;053;Reg.-Bez. Köln;153;97;56;128;25;*;
;;05515;Münster, Stadt;14;10;4;11;3;-;
;;055;Übrige Kreise (Regierungsbezirk);16;*;*;13;3;-;
;;055;Reg.-Bez. Münster;30;24;6;24;6;-;
;;05754;Gütersloh;11;*;*;*;*;-;
;;057;Übrige Kreise (Regierungsbezirk);21;16;5;16;5;*;
;;057;Reg.-Bez. Detmold;32;26;6;26;6;*;
;;05913;Dortmund, Stadt;10;6;4;7;3;*;
;;059;Übrige Kreise (Regierungsbezirk);42;31;11;36;6;*;
;;059;Reg.-Bez. Arnsberg;52;37;15;43;9;3;
;;05;Nordrhein-Westfalen;384;270;114;313;71;7;
;;06411;Darmstadt, Wissenschaftsstadt;13;9;4;10;3;-;
;;06412;Frankfurt am Main, Stadt;82;57;25;65;17;-;
;;06414;Wiesbaden, Landeshauptstadt;37;20;17;34;3;*;
;;06432;Darmstadt-Dieburg;11;11;-;*;*;*;
;;06434;Hochtaunuskreis;86;55;31;70;16;-;
;;06435;Main-Kinzig-Kreis;14;*;*;*;*;-;
;;06436;Main-Taunus-Kreis;16;11;5;*;*;-;
;;06438;Offenbach;31;20;11;*;*;-;
;;064;Übrige Kreise (Regierungsbezirk);19;12;7;15;4;-;
;;064;Reg.-Bez. Darmstadt;309;207;102;259;50;*;
;;06531;Gießen;11;*;*;*;*;-;
;;06534;Marburg-Biedenkopf;12;6;6;*;*;-;
;;065;Übrige Kreise (Regierungsbezirk);6;*;*;6;-;-;
;;065;Reg.-Bez. Gießen;29;20;9;26;3;-;
;;06611;Kassel, documenta-Stadt;12;*;*;*;*;-;
;;06631;Fulda;13;7;6;*;*;-;
;;066;Übrige Kreise (Regierungsbezirk);19;*;*;*;*;-;
;;066;Reg.-Bez. Kassel;44;34;10;40;4;-;
;;06;Hessen;382;261;121;325;57;*;
;;07315;Mainz, kreisfreie Stadt;22;12;10;18;4;-;
;;070;Übrige Kreise (Regierungsbezirk);56;32;24;50;6;*;
;;070;Rheinland-Pfalz;78;44;34;68;10;*;
;;07;Rheinland-Pfalz;78;44;34;68;10;*;
;;08111;Stuttgart, Landeshauptstadt;43;29;14;35;8;-;
;;08115;Böblingen;11;*;*;*;*;-;
;;08117;Göppingen;10;7;3;*;*;-;
;;08118;Ludwigsburg;12;*;*;9;3;-;
;;08119;Rems-Murr-Kreis;11;*;*;*;*;-;
;;08136;Ostalbkreis;23;19;4;20;3;-;
;;081;Übrige Kreise (Regierungsbezirk);35;27;8;31;4;-;
;;081;Reg.-Bez. Stuttgart;145;111;34;123;22;-;
;;08212;Karlsruhe, Stadt;13;*;*;10;3;-;
;;08215;Karlsruhe;12;5;7;*;*;-;
;;08221;Heidelberg, Stadt;19;11;8;*;*;-;
;;08222;Mannheim, Universitätsstadt;10;6;4;7;3;-;
;;082;Übrige Kreise (Regierungsbezirk);19;12;7;15;4;-;
;;082;Reg.-Bez. Karlsruhe;73;46;27;61;12;-;
;;08311;Freiburg im Breisgau, Stadt;10;6;4;*;*;-;
;;083;Übrige Kreise (Regierungsbezirk);25;21;4;*;*;-;
;;083;Reg.-Bez. Freiburg;35;27;8;31;4;-;
;;08416;Tübingen;14;8;6;6;8;-;
;;08421;Ulm, Universitätsstadt;15;11;4;*;*;-;
;;08435;Bodenseekreis;12;8;4;*;*;-;
;;08436;Ravensburg;14;*;*;14;-;-;
;;084;Übrige Kreise (Regierungsbezirk);12;*;*;*;*;-;
;;084;Reg.-Bez. Tübingen;67;49;18;54;13;-;
;;08;Baden-Württemberg;320;233;87;269;51;-;
;;09162;München, Landeshauptstadt;170;123;47;143;27;3;
;;09184;München;54;37;17;42;12;-;
;;09188;Starnberg;12;7;5;7;5;-;
;;091;Übrige Kreise (Regierungsbezirk);54;41;13;47;7;*;
;;091;Oberbayern;290;208;82;239;51;4;
;;092;Niederbayern;14;*;*;11;3;*;
;;093;Oberpfalz;30;*;*;27;3;-;
;;09462;Bayreuth, Stadt;28;22;6;20;8;*;
;;094;Übrige Kreise (Regierungsbezirk);52;34;18;*;*;3;
;;094;Oberfranken;80;56;24;70;10;4;
;;09562;Erlangen, Stadt;22;16;6;*;*;*;
;;09564;Nürnberg, Stadt;52;40;12;44;8;-;
;;095;Übrige Kreise (Regierungsbezirk);22;16;6;*;*;*;
;;095;Mittelfranken;96;72;24;85;11;*;
;;09663;Würzburg, Stadt;11;8;3;*;*;-;
;;096;Übrige Kreise (Regierungsbezirk);38;30;8;*;*;*;
;;096;Unterfranken;49;38;11;46;3;*;
;;097;Schwaben;22;14;8;17;5;-;
;;09;Bayern;581;428;153;495;86;13;
;;100;Saarland;11;7;4;7;4;*;
;;10;Saarland;11;7;4;7;4;*;
;;11000;Berlin, Stadt;301;172;129;263;38;5;
;;110;Berlin;301;172;129;263;38;5;
;;11;Berlin;301;172;129;263;38;5;
;;12054;Potsdam, Stadt;21;14;7;*;*;-;
;;12069;Potsdam-Mittelmark;26;19;7;22;4;-;
;;120;Übrige Kreise (Regierungsbezirk);48;29;19;48;-;-;
;;120;Brandenburg;95;62;33;89;6;-;
;;12;Brandenburg;95;62;33;89;6;-;
;;13003;Rostock, Hansestadt;11;5;6;*;*;-;
;;13075;Vorpommern-Greifswald;14;5;9;*;*;-;
;;130;Übrige Kreise (Regierungsbezirk);18;12;6;15;3;-;
;;130;Mecklenburg-Vorpommern;43;22;21;38;5;-;
;;13;Mecklenburg-Vorpommern;43;22;21;38;5;-;
;;14511;Chemnitz, Stadt;87;52;35;78;9;*;
;;14521;Erzgebirgskreis;19;12;7;*;*;-;
;;14522;Mittelsachsen;17;14;3;*;*;-;
;;14523;Vogtlandkreis;22;*;*;*;*;-;
;;14524;Zwickau;100;73;27;96;4;*;
;;14612;Dresden, Stadt;97;59;38;89;8;3;
;;14625;Bautzen;21;11;10;21;-;-;
;;14627;Meißen;26;17;9;23;3;*;
;;14628;Sächs. Schweiz-Osterzgebirge;10;7;3;10;-;*;
;;14713;Leipzig, Stadt;306;186;120;273;33;9;
;;14729;Leipzig;27;22;5;27;-;-;
;;14730;Nordsachsen;15;12;3;*;*;-;
;;140;Übrige Kreise (Regierungsbezirk);6;*;*;6;-;-;
;;140;Sachsen;753;487;266;690;63;18;
;;14;Sachsen;753;487;266;690;63;18;
;;15001;Dessau-Roßlau, Stadt;10;*;*;7;3;-;
;;15002;Halle (Saale), Stadt;56;38;18;52;4;*;
;;15003;Magdeburg, Landeshauptstadt;14;8;6;*;*;*;
;;15082;Anhalt-Bitterfeld;13;10;3;*;*;-;
;;15084;Burgenlandkreis;218;118;100;211;7;9;
;;15088;Saalekreis;30;22;8;*;*;-;
;;150;Übrige Kreise (Regierungsbezirk);25;16;9;21;4;*;
;;150;Sachsen-Anhalt;366;220;146;344;22;14;
;;15;Sachsen-Anhalt;366;220;146;344;22;14;
;;16051;Erfurt, Stadt;1,344;809;535;1,246;98;22;
;;16052;Gera, Stadt;487;232;255;470;17;9;
;;16054;Suhl, Stadt;10;*;*;10;-;-;
;;16055;Weimar, Stadt;867;389;478;823;44;15;
;;16056;Eisenach, Stadt;118;32;86;112;6;*;
;;16061;Eichsfeld;17;14;3;*;*;-;
;;16062;Nordhausen;15;8;7;*;*;-;
;;16063;Wartburgkreis;29;10;19;26;3;-;
;;16064;Unstrut-Hainich-Kreis;51;28;23;48;3;3;
;;16065;Kyffhäuserkreis;17;9;8;*;*;*;
;;16066;Schmalkalden-Meiningen;39;25;14;*;*;*;
;;16067;Gotha;60;42;18;57;3;*;
;;16068;Sömmerda;92;46;46;89;3;3;
;;16069;Hildburghausen;13;*;*;*;*;-;
;;16070;Ilm-Kreis;123;94;29;*;*;*;
;;16071;Weimarer Land;905;549;356;835;70;36;
;;16073;Saalfeld-Rudolstadt;416;228;188;397;19;9;
;;16074;Saale-Holzland-Kreis;2,595;1,640;955;2,481;114;110;
;;16075;Saale-Orla-Kreis;251;160;91;237;14;8;
;;16076;Greiz;151;112;39;146;5;*;
;;16077;Altenburger Land;28;19;9;*;*;*;
;;160;Übrige Kreise (Regierungsbezirk);7;*;*;*;*;*;
;;160;Thüringen;7,635;4,471;3,164;7,224;411;226;
;;16;Thüringen;7,635;4,471;3,164;7,224;411;226;
;;ZZ;Auspendler in das Bundesgebiet;11,284;6,894;4,390;10,410;874;298;
;;Z;Auspendler insgesamt;11,284;6,894;4,390;10,410;874;298;
16054;Suhl, Stadt;;;;;;;;;
;;02000;Hamburg, Freie und Hansestadt;14;10;4;*;*;*;
;;020;Hamburg;14;10;4;*;*;*;
;;02;Hamburg;14;10;4;*;*;*;
;;031;Statistische Region Braunschweig;16;11;5;*;*;-;
;;03241;Region Hannover;10;7;3;*;*;-;
;;032;Übrige Kreise (Regierungsbezirk);6;*;*;6;-;-;
;;032;Statistische Region Hannover;16;12;4;*;*;-;
;;03;Übrige Regierungsbezirke (Bundesland);15;11;4;*;*;-;
;;03;Niedersachsen;47;34;13;43;4;-;
;;05112;Duisburg, Stadt;11;*;*;7;4;-;
;;051;Übrige Kreise (Regierungsbezirk);22;17;5;19;3;*;
;;051;Reg.-Bez. Düsseldorf;33;26;7;26;7;*;
;;05315;Köln, Stadt;11;7;4;11;-;*;
;;053;Übrige Kreise (Regierungsbezirk);14;10;4;*;*;-;
;;053;Reg.-Bez. Köln;25;17;8;*;*;*;
;;05754;Gütersloh;12;9;3;*;*;-;
;;057;Übrige Kreise (Regierungsbezirk);4;*;*;4;-;-;
;;057;Reg.-Bez. Detmold;16;11;5;*;*;-;
;;059;Reg.-Bez. Arnsberg;14;9;5;*;*;-;
;;05;Übrige Regierungsbezirke (Bundesland);5;*;*;*;*;-;
;;05;Nordrhein-Westfalen;93;66;27;79;14;3;
;;06412;Frankfurt am Main, Stadt;34;25;9;28;6;-;
;;06435;Main-Kinzig-Kreis;22;17;5;*;*;*;
;;06438;Offenbach;11;*;*;*;*;*;
;;064;Übrige Kreise (Regierungsbezirk);29;23;6;*;*;-;
;;064;Reg.-Bez. Darmstadt;96;74;22;86;10;*;
;;065;Reg.-Bez. Gießen;12;12;-;12;-;-;
;;06631;Fulda;19;*;*;19;-;-;
;;066;Übrige Kreise (Regierungsbezirk);7;*;*;*;*;-;
;;066;Reg.-Bez. Kassel;26;22;4;*;*;-;
;;06;Hessen;134;108;26;123;11;*;
;;070;Rheinland-Pfalz;24;18;6;21;3;-;
;;07;Rheinland-Pfalz;24;18;6;21;3;-;
;;08111;Stuttgart, Landeshauptstadt;17;*;*;*;*;-;
;;081;Übrige Kreise (Regierungsbezirk);51;45;6;*;*;*;
;;081;Reg.-Bez. Stuttgart;68;60;8;64;4;*;
;;08221;Heidelberg, Stadt;68;20;48;53;15;-;
;;082;Übrige Kreise (Regierungsbezirk);24;18;6;20;4;-;
;;082;Reg.-Bez. Karlsruhe;92;38;54;73;19;-;
;;083;Reg.-Bez. Freiburg;16;*;*;16;-;-;
;;084;Reg.-Bez. Tübingen;14;*;*;14;-;*;
;;08;Baden-Württemberg;190;125;65;167;23;*;
;;09162;München, Landeshauptstadt;37;25;12;31;6;*;
;;091;Übrige Kreise (Regierungsbezirk);57;47;10;54;3;-;
;;091;Oberbayern;94;72;22;85;9;*;
;;093;Oberpfalz;16;*;*;*;*;*;
;;09463;Coburg, Stadt;123;67;56;*;*;*;
;;09473;Coburg;48;34;14;*;*;*;
;;094;Übrige Kreise (Regierungsbezirk);34;22;12;31;3;*;
;;094;Oberfranken;205;123;82;198;7;3;
;;09564;Nürnberg, Stadt;24;20;4;*;*;-;
;;095;Übrige Kreise (Regierungsbezirk);34;26;8;34;-;*;
;;095;Mittelfranken;58;46;12;*;*;*;
;;09662;Schweinfurt, Stadt;19;14;5;*;*;-;
;;09663;Würzburg, Stadt;15;6;9;*;*;*;
;;09672;Bad Kissingen;21;18;3;21;-;-;
;;09673;Rhön-Grabfeld;96;60;36;96;-;*;
;;09677;Main-Spessart;12;*;*;*;*;-;
;;09678;Schweinfurt;16;16;-;16;-;-;
;;096;Übrige Kreise (Regierungsbezirk);29;24;5;29;-;-;
;;096;Unterfranken;208;148;60;205;3;*;
;;097;Schwaben;11;11;-;*;*;-;
;;09;Übrige Regierungsbezirke (Bundesland);7;*;*;*;*;-;
;;09;Bayern;599;420;179;576;23;8;
;;11000;Berlin, Stadt;31;18;13;28;3;*;
;;110;Berlin;31;18;13;28;3;*;
;;11;Berlin;31;18;13;28;3;*;
;;12063;Havelland;51;28;23;47;4;*;
;;120;Übrige Kreise (Regierungsbezirk);23;20;3;*;*;-;
;;120;Brandenburg;74;48;26;68;6;*;
;;12;Brandenburg;74;48;26;68;6;*;
;;130;Mecklenburg-Vorpommern;13;6;7;*;*;-;
;;13;Mecklenburg-Vorpommern;13;6;7;*;*;-;
;;14511;Chemnitz, Stadt;16;11;5;16;-;-;
;;14612;Dresden, Stadt;31;15;16;31;-;*;
;;14713;Leipzig, Stadt;32;19;13;*;*;*;
;;14729;Leipzig;11;*;*;*;*;-;
;;140;Übrige Kreise (Regierungsbezirk);25;21;4;*;*;-;
;;140;Sachsen;115;76;39;111;4;3;
;;14;Sachsen;115;76;39;111;4;3;
;;15084;Burgenlandkreis;23;*;*;20;3;-;
;;150;Übrige Kreise (Regierungsbezirk);35;24;11;30;5;-;
;;150;Sachsen-Anhalt;58;45;13;50;8;-;
;;15;Sachsen-Anhalt;58;45;13;50;8;-;
;;16051;Erfurt, Stadt;591;314;277;467;124;8;
;;16053;Jena, Stadt;29;17;12;29;-;*;
;;16055;Weimar, Stadt;56;15;41;*;*;-;
;;16056;Eisenach, Stadt;42;22;20;*;*;-;
;;16063;Wartburgkreis;38;24;14;38;-;*;
;;16064;Unstrut-Hainich-Kreis;54;20;34;43;11;-;
;;16066;Schmalkalden-Meiningen;2,400;1,367;1,033;2,271;129;109;
;;16067;Gotha;198;140;58;169;29;7;
;;16069;Hildburghausen;814;491;323;763;51;20;
;;16070;Ilm-Kreis;313;180;133;306;7;*;
;;16071;Weimarer Land;22;13;9;*;*;-;
;;16072;Sonneberg;53;23;30;48;5;*;
;;16073;Saalfeld-Rudolstadt;15;10;5;*;*;-;
;;160;Übrige Kreise (Regierungsbezirk);42;28;14;38;4;*;
;;160;Thüringen;4,667;2,664;2,003;4,301;366;150;
;;16;Thüringen;4,667;2,664;2,003;4,301;366;150;
;;ZZ;Übrige Bundesländer;18;14;4;15;3;*;
;;ZZ;Auspendler in das Bundesgebiet;6,077;3,652;2,425;5,607;470;172;
;;Z;Auspendler insgesamt;6,077;3,652;2,425;5,607;470;172;
16055;Weimar, Stadt;;;;;;;;;
;;010;Schleswig-Holstein;27;14;13;23;4;*;
;;01;Schleswig-Holstein;27;14;13;23;4;*;
;;02000;Hamburg, Freie und Hansestadt;54;29;25;44;10;*;
;;020;Hamburg;54;29;25;44;10;*;
;;02;Hamburg;54;29;25;44;10;*;
;;031;Statistische Region Braunschweig;28;17;11;19;9;*;
;;03241;Region Hannover;46;32;14;41;5;*;
;;032;Übrige Kreise (Regierungsbezirk);10;*;*;*;*;-;
;;032;Statistische Region Hannover;56;41;15;50;6;*;
;;033;Statistische Region Lüneburg;13;10;3;9;4;-;
;;03454;Emsland;59;23;36;55;4;-;
;;034;Übrige Kreise (Regierungsbezirk);13;8;5;10;3;-;
;;034;Statistische Region Weser-Ems;72;31;41;65;7;-;
;;03;Niedersachsen;169;99;70;143;26;3;
;;04011;Bremen, Stadt;10;10;-;*;*;-;
;;040;Übrige Kreise (Regierungsbezirk);*;*;*;*;*;-;
;;040;Bremen;12;*;*;*;*;-;
;;04;Bremen;12;*;*;*;*;-;
;;05111;Düsseldorf, Stadt;34;18;16;27;7;*;
;;05113;Essen, Stadt;13;*;*;*;*;-;
;;051;Übrige Kreise (Regierungsbezirk);34;21;13;31;3;-;
;;051;Reg.-Bez. Düsseldorf;81;51;30;69;12;*;
;;05315;Köln, Stadt;47;30;17;39;8;-;
;;053;Übrige Kreise (Regierungsbezirk);34;25;9;30;4;-;
;;053;Reg.-Bez. Köln;81;55;26;69;12;-;
;;055;Reg.-Bez. Münster;16;12;4;*;*;*;
;;05770;Minden-Lübbecke;10;*;*;10;-;-;
;;057;Übrige Kreise (Regierungsbezirk);16;11;5;*;*;*;
;;057;Reg.-Bez. Detmold;26;20;6;*;*;*;
;;05978;Unna;15;12;3;*;*;-;
;;059;Übrige Kreise (Regierungsbezirk);26;19;7;*;*;-;
;;059;Reg.-Bez. Arnsberg;41;31;10;38;3;-;
;;05;Nordrhein-Westfalen;245;169;76;215;30;3;
;;06412;Frankfurt am Main, Stadt;72;34;38;64;8;*;
;;06414;Wiesbaden, Landeshauptstadt;10;5;5;10;-;-;
;;06432;Darmstadt-Dieburg;53;27;26;*;*;-;
;;06434;Hochtaunuskreis;21;18;3;16;5;-;
;;06435;Main-Kinzig-Kreis;15;11;4;*;*;*;
;;064;Übrige Kreise (Regierungsbezirk);42;33;9;36;6;*;
;;064;Reg.-Bez. Darmstadt;213;128;85;190;23;3;
;;065;Reg.-Bez. Gießen;20;12;8;20;-;-;
;;06611;Kassel, documenta-Stadt;10;5;5;*;*;-;
;;06631;Fulda;14;*;*;*;*;-;
;;06632;Hersfeld-Rotenburg;20;*;*;*;*;-;
;;066;Übrige Kreise (Regierungsbezirk);14;9;5;*;*;-;
;;066;Reg.-Bez. Kassel;58;44;14;53;5;-;
;;06;Hessen;291;184;107;263;28;3;
;;070;Rheinland-Pfalz;36;25;11;32;4;-;
;;07;Rheinland-Pfalz;36;25;11;32;4;-;
;;08111;Stuttgart, Landeshauptstadt;31;23;8;22;9;-;
;;08119;Rems-Murr-Kreis;12;5;7;4;8;-;
;;081;Übrige Kreise (Regierungsbezirk);37;28;9;34;3;-;
;;081;Reg.-Bez. Stuttgart;80;56;24;60;20;-;
;;08212;Karlsruhe, Stadt;14;*;*;11;3;-;
;;08222;Mannheim, Universitätsstadt;13;8;5;*;*;-;
;;082;Übrige Kreise (Regierungsbezirk);35;23;12;31;4;-;
;;082;Reg.-Bez. Karlsruhe;62;43;19;53;9;-;
;;083;Reg.-Bez. Freiburg;21;17;4;18;3;-;
;;084;Reg.-Bez. Tübingen;20;13;7;*;*;*;
;;08;Baden-Württemberg;183;129;54;150;33;*;
;;09162;München, Landeshauptstadt;99;63;36;89;10;*;
;;09184;München;19;14;5;*;*;-;
;;091;Übrige Kreise (Regierungsbezirk);45;33;12;40;5;-;
;;091;Oberbayern;163;110;53;146;17;*;
;;093;Oberpfalz;17;14;3;*;*;-;
;;09462;Bayreuth, Stadt;11;5;6;*;*;-;
;;09463;Coburg, Stadt;10;6;4;3;7;-;
;;094;Übrige Kreise (Regierungsbezirk);25;14;11;*;*;*;
;;094;Oberfranken;46;25;21;36;10;*;
;;09564;Nürnberg, Stadt;30;18;12;25;5;-;
;;095;Übrige Kreise (Regierungsbezirk);25;20;5;18;7;*;
;;095;Mittelfranken;55;38;17;43;12;*;
;;09663;Würzburg, Stadt;11;8;3;*;*;*;
;;096;Übrige Kreise (Regierungsbezirk);33;26;7;28;5;*;
;;096;Unterfranken;44;34;10;38;6;*;
;;097;Schwaben;16;13;3;13;3;-;
;;09;Übrige Regierungsbezirke (Bundesland);9;*;*;*;*;-;
;;09;Bayern;350;242;108;298;52;6;
;;11000;Berlin, Stadt;199;113;86;156;43;4;
;;110;Berlin;199;113;86;156;43;4;
;;11;Berlin;199;113;86;156;43;4;
;;12054;Potsdam, Stadt;12;6;6;*;*;-;
;;120;Übrige Kreise (Regierungsbezirk);41;31;10;35;6;*;
;;120;Brandenburg;53;37;16;46;7;*;
;;12;Brandenburg;53;37;16;46;7;*;
;;130;Mecklenburg-Vorpommern;20;10;10;17;3;-;
;;13;Mecklenburg-Vorpommern;20;10;10;17;3;-;
;;14511;Chemnitz, Stadt;26;15;11;21;5;-;
;;14523;Vogtlandkreis;10;*;*;10;-;*;
;;14524;Zwickau;28;23;5;*;*;*;
;;14612;Dresden, Stadt;79;39;40;*;*;6;
;;14627;Meißen;10;*;*;10;-;-;
;;14713;Leipzig, Stadt;172;120;52;158;14;4;
;;14729;Leipzig;15;*;*;*;*;*;
;;140;Übrige Kreise (Regierungsbezirk);35;25;10;*;*;*;
;;140;Sachsen;375;253;122;350;25;14;
;;14;Sachsen;375;253;122;350;25;14;
;;15002;Halle (Saale), Stadt;52;28;24;*;*;*;
;;15003;Magdeburg, Landeshauptstadt;40;18;22;25;15;3;
;;15084;Burgenlandkreis;73;40;33;61;12;-;
;;15087;Mansfeld-Südharz;12;*;*;*;*;-;
;;15088;Saalekreis;31;26;5;*;*;-;
;;150;Übrige Kreise (Regierungsbezirk);35;27;8;29;6;-;
;;150;Sachsen-Anhalt;243;150;93;206;37;4;
;;15;Sachsen-Anhalt;243;150;93;206;37;4;
;;16051;Erfurt, Stadt;3,033;1,703;1,330;2,876;157;67;
;;16052;Gera, Stadt;77;38;39;71;6;*;
;;16053;Jena, Stadt;1,472;757;715;1,396;76;33;
;;16054;Suhl, Stadt;28;20;8;25;3;-;
;;16056;Eisenach, Stadt;42;23;19;39;3;*;
;;16061;Eichsfeld;20;11;9;*;*;*;
;;16062;Nordhausen;19;12;7;*;*;*;
;;16063;Wartburgkreis;39;30;9;39;-;*;
;;16064;Unstrut-Hainich-Kreis;56;36;20;53;3;3;
;;16065;Kyffhäuserkreis;42;26;16;42;-;-;
;;16066;Schmalkalden-Meiningen;46;30;16;*;*;-;
;;16067;Gotha;207;154;53;200;7;6;
;;16068;Sömmerda;367;243;124;356;11;9;
;;16069;Hildburghausen;24;8;16;20;4;-;
;;16070;Ilm-Kreis;258;182;76;254;4;6;
;;16071;Weimarer Land;3,128;1,879;1,249;2,935;193;124;
;;16073;Saalfeld-Rudolstadt;122;80;42;114;8;*;
;;16074;Saale-Holzland-Kreis;163;93;70;151;12;*;
;;16075;Saale-Orla-Kreis;38;23;15;38;-;*;
;;16076;Greiz;19;13;6;*;*;*;
;;16077;Altenburger Land;17;11;6;11;6;-;
;;160;Übrige Kreise (Regierungsbezirk);7;4;3;7;-;-;
;;160;Thüringen;9,224;5,376;3,848;8,727;497;260;
;;16;Thüringen;9,224;5,376;3,848;8,727;497;260;
;;ZZ;Übrige Bundesländer;7;*;*;*;*;-;
;;ZZ;Auspendler in das Bundesgebiet;11,488;6,847;4,641;10,685;803;301;
;;Z;Auspendler insgesamt;11,488;6,847;4,641;10,685;803;301;
16056;Eisenach, Stadt;;;;;;;;;
;;010;Schleswig-Holstein;22;14;8;14;8;-;
;;01;Schleswig-Holstein;22;14;8;14;8;-;
;;02000;Hamburg, Freie und Hansestadt;27;16;11;24;3;-;
;;020;Hamburg;27;16;11;24;3;-;
;;02;Hamburg;27;16;11;24;3;-;
;;03159;Göttingen;10;3;7;7;3;-;
;;031;Übrige Kreise (Regierungsbezirk);20;16;4;*;*;-;
;;031;Statistische Region Braunschweig;30;19;11;25;5;-;
;;03241;Region Hannover;13;8;5;*;*;*;
;;032;Übrige Kreise (Regierungsbezirk);5;*;*;*;*;-;
;;032;Statistische Region Hannover;18;12;6;15;3;*;
;;03402;Emden, Stadt;11;8;3;*;*;-;
;;034;Übrige Kreise (Regierungsbezirk);13;9;4;10;3;-;
;;034;Statistische Region Weser-Ems;24;17;7;19;5;-;
;;03;Übrige Regierungsbezirke (Bundesland);7;*;*;*;*;-;
;;03;Niedersachsen;79;53;26;65;14;*;
;;05111;Düsseldorf, Stadt;15;9;6;*;*;-;
;;051;Übrige Kreise (Regierungsbezirk);39;30;9;*;*;*;
;;051;Reg.-Bez. Düsseldorf;54;39;15;51;3;*;
;;05315;Köln, Stadt;12;5;7;*;*;-;
;;053;Übrige Kreise (Regierungsbezirk);29;22;7;25;4;-;
;;053;Reg.-Bez. Köln;41;27;14;36;5;-;
;;05711;Bielefeld, Stadt;12;7;5;*;*;*;
;;057;Übrige Kreise (Regierungsbezirk);15;12;3;12;3;-;
;;057;Reg.-Bez. Detmold;27;19;8;23;4;*;
;;059;Reg.-Bez. Arnsberg;22;18;4;17;5;*;
;;05;Übrige Regierungsbezirke (Bundesland);5;*;*;5;-;-;
;;05;Nordrhein-Westfalen;149;105;44;132;17;3;
;;06412;Frankfurt am Main, Stadt;57;34;23;52;5;*;
;;06433;Groß-Gerau;15;11;4;*;*;-;
;;06434;Hochtaunuskreis;11;8;3;11;-;-;
;;06436;Main-Taunus-Kreis;10;4;6;10;-;-;
;;06438;Offenbach;12;*;*;9;3;-;
;;064;Übrige Kreise (Regierungsbezirk);28;20;8;24;4;-;
;;064;Reg.-Bez. Darmstadt;133;87;46;119;14;*;
;;06531;Gießen;27;15;12;23;4;*;
;;06535;Vogelsbergkreis;11;*;*;11;-;-;
;;065;Übrige Kreise (Regierungsbezirk);6;*;*;6;-;-;
;;065;Reg.-Bez. Gießen;44;29;15;40;4;*;
;;06611;Kassel, documenta-Stadt;47;24;23;44;3;*;
;;06631;Fulda;36;28;8;*;*;-;
;;06632;Hersfeld-Rotenburg;336;199;137;327;9;7;
;;06633;Kassel;20;*;*;20;-;-;
;;06634;Schwalm-Eder-Kreis;17;11;6;*;*;-;
;;06636;Werra-Meißner-Kreis;150;75;75;147;3;*;
;;066;Übrige Kreise (Regierungsbezirk);*;*;*;*;*;-;
;;066;Reg.-Bez. Kassel;608;357;251;590;18;9;
;;06;Hessen;785;473;312;749;36;12;
;;070;Rheinland-Pfalz;28;24;4;24;4;*;
;;07;Rheinland-Pfalz;28;24;4;24;4;*;
;;08111;Stuttgart, Landeshauptstadt;16;12;4;11;5;-;
;;08118;Ludwigsburg;10;7;3;*;*;-;
;;081;Übrige Kreise (Regierungsbezirk);32;28;4;29;3;-;
;;081;Reg.-Bez. Stuttgart;58;47;11;49;9;-;
;;082;Reg.-Bez. Karlsruhe;21;15;6;*;*;-;
;;083;Reg.-Bez. Freiburg;12;9;3;*;*;-;
;;084;Reg.-Bez. Tübingen;20;16;4;*;*;-;
;;08;Baden-Württemberg;111;87;24;99;12;-;
;;09162;München, Landeshauptstadt;22;16;6;*;*;-;
;;091;Übrige Kreise (Regierungsbezirk);37;22;15;33;4;*;
;;091;Oberbayern;59;38;21;54;5;*;
;;09475;Hof;11;*;*;11;-;-;
;;094;Übrige Kreise (Regierungsbezirk);20;15;5;17;3;*;
;;094;Oberfranken;31;16;15;28;3;*;
;;09564;Nürnberg, Stadt;15;*;*;*;*;-;
;;095;Übrige Kreise (Regierungsbezirk);10;*;*;6;4;*;
;;095;Mittelfranken;25;21;4;19;6;*;
;;096;Unterfranken;20;16;4;17;3;*;
;;09777;Ostallgäu;14;14;-;*;*;*;
;;097;Übrige Kreise (Regierungsbezirk);15;12;3;10;5;-;
;;097;Schwaben;29;26;3;23;6;*;
;;09;Übrige Regierungsbezirke (Bundesland);13;7;6;8;5;4;
;;09;Bayern;177;124;53;149;28;10;
;;11000;Berlin, Stadt;52;36;16;45;7;*;
;;110;Berlin;52;36;16;45;7;*;
;;11;Berlin;52;36;16;45;7;*;
;;12069;Potsdam-Mittelmark;12;6;6;4;8;-;
;;120;Übrige Kreise (Regierungsbezirk);9;5;4;6;3;-;
;;120;Brandenburg;21;11;10;10;11;-;
;;12;Brandenburg;21;11;10;10;11;-;
;;14522;Mittelsachsen;10;7;3;*;*;-;
