Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;08111;Stuttgart, Landeshauptstadt;110;85;25;83;27;-;
;;08115;Böblingen;22;17;5;*;*;-;
;;08116;Esslingen;25;21;4;25;-;-;
;;08117;Göppingen;14;*;*;*;*;-;
;;08118;Ludwigsburg;36;29;7;32;4;-;
;;08119;Rems-Murr-Kreis;47;38;9;22;25;-;
;;08121;Heilbronn, Stadt;18;9;9;18;-;-;
;;08125;Heilbronn;17;*;*;*;*;-;
;;08136;Ostalbkreis;19;19;-;*;*;-;
;;081;Übrige Kreise (Regierungsbezirk);24;*;*;*;*;*;
;;081;Reg.-Bez. Stuttgart;332;267;65;268;64;*;
;;08212;Karlsruhe, Stadt;47;34;13;43;4;*;
;;08215;Karlsruhe;21;12;9;*;*;-;
;;08221;Heidelberg, Stadt;14;9;5;*;*;-;
;;08222;Mannheim, Universitätsstadt;43;24;19;*;*;*;
;;08226;Rhein-Neckar-Kreis;17;11;6;*;*;-;
;;082;Übrige Kreise (Regierungsbezirk);32;28;4;29;3;-;
;;082;Reg.-Bez. Karlsruhe;174;118;56;161;13;*;
;;08311;Freiburg im Breisgau, Stadt;24;16;8;19;5;-;
;;08317;Ortenaukreis;26;17;9;*;*;-;
;;08326;Schwarzwald-Baar-Kreis;13;8;5;*;*;-;
;;08335;Konstanz;11;5;6;*;*;-;
;;083;Übrige Kreise (Regierungsbezirk);33;23;10;29;4;*;
;;083;Reg.-Bez. Freiburg;107;69;38;94;13;*;
;;08415;Reutlingen;10;10;-;10;-;-;
;;08416;Tübingen;10;*;*;10;-;-;
;;08421;Ulm, Universitätsstadt;12;8;4;*;*;-;
;;08436;Ravensburg;23;23;-;23;-;-;
;;084;Übrige Kreise (Regierungsbezirk);29;21;8;26;3;-;
;;084;Reg.-Bez. Tübingen;84;71;13;79;5;-;
;;08;Baden-Württemberg;697;525;172;602;95;4;
;;09161;Ingolstadt, Stadt;32;24;8;*;*;*;
;;09162;München, Landeshauptstadt;220;140;80;160;60;6;
;;09174;Dachau;20;*;*;20;-;-;
;;09178;Freising;14;9;5;14;-;-;
;;09182;Miesbach;10;*;*;*;*;-;
;;09184;München;82;60;22;78;4;*;
;;09186;Pfaffenhofen a.d.Ilm;15;12;3;10;5;-;
;;091;Übrige Kreise (Regierungsbezirk);72;53;19;66;6;-;
;;091;Oberbayern;465;326;139;387;78;8;
;;092;Niederbayern;20;16;4;*;*;-;
;;09362;Regensburg, Stadt;25;12;13;22;3;*;
;;093;Übrige Kreise (Regierungsbezirk);32;25;7;*;*;-;
;;093;Oberpfalz;57;37;20;52;5;*;
;;09463;Coburg, Stadt;16;12;4;*;*;-;
;;09471;Bamberg;11;*;*;11;-;-;
;;09473;Coburg;23;13;10;*;*;-;
;;09475;Hof;14;6;8;14;-;-;
;;094;Übrige Kreise (Regierungsbezirk);44;38;6;*;*;*;
