Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
3254041;Duingen, Flecken;1,951;1,056;895;1,894;57;53;161;438;778;299;479;1,652;95;;
3254042;Freden (Leine);1,682;973;709;1,643;39;38;110;390;638;287;351;1,395;92;;
3254043;Gronau (Leine), Stadt;4,431;2,281;2,150;4,298;132;100;354;1,029;3,368;1,328;2,040;3,103;277;;
3254044;Lamspringe;2,137;1,126;1,011;2,080;57;52;141;486;1,620;549;1,071;1,588;125;;
3254045;Sibbesse;2,313;1,254;1,059;2,261;52;45;148;551;323;147;175;2,166;67;;
;;;;;;;;;;;;;;;;
3254;Hildesheim;104,907;55,839;49,068;98,655;6,218;2,032;8,400;22,726;91,936;69,186;22,726;35,719;6,332;;
;;;;;;;;;;;;;;;;
3255001;Arholzen;135;76;59;132;3;;8;23;*;4;*;131;*;;
3255002;Bevern, Flecken;1,422;768;654;1,395;27;32;102;343;646;171;475;1,251;63;;
3255003;Bodenwerder, Münchhausenstadt;1,934;1,034;900;1,801;133;39;172;453;1,340;471;869;1,463;159;;
3255004;Boffzen;1,016;581;435;930;86;33;89;249;1,127;230;897;786;51;;
3255005;Brevörde;229;123;106;222;7;4;24;39;*;7;*;222;*;;
3255007;Deensen;512;284;228;*;*;19;44;102;134;41;93;471;31;;
3255008;Delligsen, Flecken;2,992;1,640;1,352;2,907;84;89;242;675;1,887;851;1,035;2,141;145;;
3255009;Derental;205;108;97;*;*;;9;53;71;29;42;176;13;;
3255010;Dielmissen;296;162;134;292;4;12;30;73;104;20;84;276;14;;
3255012;Eimen;340;195;145;337;3;10;31;77;51;14;37;326;10;;
3255013;Eschershausen, Stadt;1,176;650;526;1,124;50;25;93;274;695;226;469;950;77;;
3255014;Fürstenberg;381;214;167;370;11;6;28;88;219;35;184;346;18;;
3255015;Golmbach;339;177;162;331;8;12;15;92;22;8;14;331;10;;
3255016;Halle;565;315;250;556;9;14;44;129;179;52;127;513;33;;
3255017;Hehlen;708;386;322;666;42;25;64;144;621;124;497;584;44;;
3255018;Heinade;308;157;151;304;4;5;11;74;23;6;17;302;11;;
3255019;Heinsen;298;159;139;294;4;10;23;65;89;28;61;270;10;;
3255020;Heyen;153;87;66;149;4;3;11;36;34;12;22;141;16;;
3255021;Holenberg;139;75;64;135;4;5;9;33;*;3;*;136;*;;
3255022;Holzen;187;98;89;*;*;5;22;49;*;5;*;182;*;;
3255023;Holzminden, Stadt;7,163;3,873;3,290;6,536;624;150;592;1,567;12,058;4,283;7,775;2,880;570;;
3255025;Kirchbrak;373;205;168;368;5;11;36;82;134;29;105;344;13;;
3255026;Lauenförde, Flecken;859;511;348;797;61;21;63;181;698;168;530;691;67;;
3255027;Lenne;253;139;114;*;*;13;26;54;*;4;*;249;*;;
3255028;Lüerdissen;139;83;56;134;5;3;18;35;*;3;*;136;*;;
3255030;Negenborn;288;151;137;278;10;11;24;59;93;16;77;272;11;;
3255031;Ottenstein, Flecken;467;269;198;447;20;21;42;105;406;57;349;410;35;;
3255032;Pegestorf;134;70;64;130;4;3;12;32;9;3;6;131;5;;
3255033;Polle, Flecken;421;232;189;406;15;8;31;105;239;57;182;364;34;;
3255034;Stadtoldendorf, Stadt;1,910;1,084;826;1,774;136;40;185;460;1,403;507;896;1,403;139;;
3255035;Vahlbruch;146;81;65;142;4;3;7;44;*;6;*;140;*;;
3255036;Wangelnstedt;206;116;90;*;*;3;11;48;40;10;30;196;12;;
;;;;;;;;;;;;;;;;
3255;Holzminden;25,694;14,103;11,591;24,311;1,376;635;2,118;5,843;22,487;14,694;7,792;11,000;1,627;;
;;;;;;;;;;;;;;;;
3256001;Balge;723;398;325;714;9;25;56;161;104;27;77;696;22;;
3256002;Binnen;385;218;167;378;7;8;23;92;56;15;41;370;15;;
3256003;Bücken, Flecken;856;464;392;835;21;19;59;207;401;89;311;767;60;;
3256004;Diepenau, Flecken;1,735;989;746;1,669;65;51;121;354;1,339;386;953;1,349;115;;
3256005;Drakenburg, Flecken;650;363;287;623;27;11;55;142;517;32;485;618;48;;
3256006;Estorf;663;376;287;618;45;16;60;151;511;77;434;586;31;;
3256007;Eystrup;1,300;711;589;1,245;55;30;120;264;794;228;566;1,072;80;;
3256008;Gandesbergen;192;110;82;188;4;*;17;51;35;7;28;185;13;;
3256009;Hämelhausen;243;146;97;231;12;7;19;49;36;13;23;230;14;;
3256010;Hassel (Weser);755;430;325;732;23;22;56;176;333;48;285;707;34;;
3256011;Haßbergen;664;370;294;638;26;12;59;128;148;32;116;632;19;;
3256012;Heemsen;774;409;365;754;20;23;57;170;212;52;160;722;38;;
3256013;Hilgermissen;882;480;402;789;93;17;64;231;468;148;320;734;63;;
3256014;Hoya, Stadt;1,454;817;637;1,369;85;33;132;352;3,692;581;3,111;873;152;;
3256015;Hoyerhagen;426;235;191;412;14;*;27;103;79;14;65;412;18;;
3256016;Husum;942;528;414;897;45;41;70;199;266;58;208;884;48;;
3256017;Landesbergen;1,036;555;481;985;51;27;76;215;416;131;285;905;60;;
3256018;Leese;673;366;307;642;31;15;53;152;590;128;462;545;53;;
3256019;Liebenau, Flecken;1,395;804;591;1,193;202;40;120;320;1,111;287;824;1,108;91;;
3256020;Linsburg;393;206;187;375;18;6;28;83;135;23;112;370;16;;
3256021;Marklohe;1,910;1,011;899;1,855;55;44;146;427;929;241;688;1,669;115;;
3256022;Nienburg (Weser), Stadt;11,412;6,223;5,189;10,312;1,094;238;1,023;2,566;14,932;6,073;8,854;5,339;975;;
3256023;Pennigsehl;509;290;219;486;23;26;50;111;112;27;85;482;18;;
3256024;Raddestorf;816;445;371;807;9;19;67;185;163;42;120;774;40;;
3256025;Rehburg-Loccum, Stadt;4,094;2,266;1,828;3,787;305;94;329;931;3,777;1,569;2,206;2,525;236;;
3256026;Rodewald;1,060;591;469;1,021;39;33;95;224;281;139;142;921;51;;
3256027;Rohrsen;385;211;174;370;15;7;31;82;95;7;88;378;16;;
3256028;Schweringen;345;199;146;322;23;11;31;88;782;37;743;308;26;;
3256029;Steimbke;1,012;594;418;899;113;30;93;227;520;158;361;854;74;;
3256030;Steyerberg, Flecken;1,965;1,103;862;1,860;105;46;150;490;1,536;528;1,007;1,437;137;;
3256031;Stöckse;507;268;239;487;20;11;31;108;53;20;33;487;21;;
3256032;Stolzenau;2,925;1,616;1,309;2,691;233;74;255;682;2,365;910;1,455;2,015;195;;
3256033;Uchte, Flecken;2,049;1,189;860;1,718;330;53;196;419;1,399;569;829;1,480;159;;
3256034;Warmsen;1,449;786;663;1,429;20;36;103;302;547;192;355;1,257;80;;
3256035;Warpe;275;148;127;259;16;10;19;74;273;40;233;235;31;;
3256036;Wietzen;958;528;430;840;118;31;90;186;707;222;485;736;67;;
;;;;;;;;;;;;;;;;
3256;Nienburg (Weser);47,812;26,443;21,369;44,430;3,371;1,173;3,981;10,702;39,714;29,210;10,490;18,602;3,231;;
;;;;;;;;;;;;;;;;
3257001;Ahnsen;423;216;207;413;10;10;29;91;*;5;*;418;*;;
3257002;Apelern;969;535;434;945;24;22;71;251;124;30;94;939;42;;
3257003;Auetal;2,490;1,356;1,134;2,381;109;56;162;544;1,002;375;627;2,115;137;;
3257004;Auhagen;511;281;230;502;9;13;38;125;45;8;37;503;14;;
3257005;Bad Eilsen;786;393;393;729;57;11;65;152;1,070;121;949;665;60;;
3257006;Bad Nenndorf, Stadt;3,780;2,015;1,765;3,423;355;64;292;831;3,050;770;2,280;3,010;277;;
3257007;Beckedorf;534;283;251;516;17;9;31;126;201;33;168;501;21;;
3257008;Buchholz;311;164;147;303;8;6;27;70;61;10;51;301;15;;
3257009;Bückeburg, Stadt;7,289;3,761;3,528;6,812;475;131;544;1,630;6,988;2,066;4,916;5,223;551;;
3257010;Hagenburg, Flecken;1,827;926;901;1,749;78;51;117;424;504;207;297;1,620;84;;
3257011;Haste;1,026;562;464;989;37;19;61;194;281;34;247;992;39;;
3257012;Heeßen;565;282;283;539;26;12;38;112;143;29;114;536;21;;
3257013;Helpsen;724;365;359;705;19;20;37;178;610;61;549;663;34;;
3257014;Hespe;825;423;402;808;17;16;52;182;120;21;99;804;28;;
3257015;Heuerßen;352;189;163;346;6;7;27;84;76;12;64;340;15;;
3257016;Hohnhorst;838;455;383;821;17;19;70;148;154;27;126;811;23;;
3257017;Hülsede;468;248;220;448;20;9;30;117;110;25;85;443;20;;
3257018;Lauenau, Flecken;1,711;927;784;1,570;141;50;123;375;1,821;239;1,581;1,472;137;;
3257019;Lauenhagen;532;280;252;518;14;12;44;122;90;19;71;513;17;;
3257020;Lindhorst;1,557;845;712;1,470;85;37;122;326;693;157;536;1,400;86;;
3257021;Lüdersfeld;448;243;205;417;31;11;28;85;272;43;228;405;40;;
3257022;Luhden;647;362;285;404;243;15;121;93;500;31;469;616;43;;
3257023;Meerbeck;814;429;385;796;18;25;76;192;243;46;197;768;34;;
3257024;Messenkamp;307;163;144;296;11;4;22;67;*;7;*;300;*;;
3257025;Niedernwöhren;824;435;389;795;29;21;58;161;480;52;428;772;34;;
3257026;Nienstädt;1,712;918;794;1,658;54;38;138;373;875;146;729;1,566;95;;
3257027;Nordsehl;274;154;120;267;7;7;16;67;21;4;17;270;11;;
3257028;Obernkirchen, Stadt;3,225;1,729;1,496;3,000;224;64;237;749;3,557;734;2,822;2,491;226;;
3257029;Pohle;344;191;153;325;19;6;30;69;80;16;64;328;16;;
3257030;Pollhagen;391;213;178;383;8;6;20;86;99;16;83;375;19;;
3257031;Rinteln, Stadt;9,484;5,215;4,269;8,911;570;190;744;2,192;9,399;4,356;5,040;5,127;692;;
3257032;Rodenberg, Stadt;2,428;1,310;1,118;2,273;152;42;202;514;1,559;357;1,202;2,070;146;;
3257033;Sachsenhagen, Stadt;776;409;367;735;41;24;58;176;454;73;381;703;51;;
3257034;Seggebruch;599;332;267;577;22;11;41;119;61;22;39;577;18;;
3257035;Stadthagen, Stadt;7,308;3,976;3,332;6,468;836;153;591;1,650;9,518;2,544;6,972;4,764;641;;
3257036;Suthfeld;583;296;287;573;9;9;32;131;85;9;76;574;16;;
3257037;Wiedensahl, Flecken;350;196;154;344;5;9;29;75;88;17;71;333;16;;
3257038;Wölpinghausen;542;279;263;532;10;8;21;121;441;24;417;518;24;;
;;;;;;;;;;;;;;;;
3257;Schaumburg;58,574;31,356;27,218;54,741;3,813;1,217;4,444;13,002;45,173;30,735;14,423;27,837;3,764;;
;;;;;;;;;;;;;;;;
3351001;Adelheidsdorf;1,074;566;508;1,039;35;26;78;222;745;75;669;999;66;;
3351002;Ahnsbeck;671;357;314;657;14;18;61;139;*;22;*;649;*;;
3351003;Beedenbostel;414;221;193;399;15;12;45;98;131;29;102;385;26;;
3351004;Bergen, Stadt;5,153;2,731;2,422;4,747;404;154;483;1,064;2,880;1,549;1,330;3,604;317;;
3351005;Bröckel;818;431;387;808;10;25;59;158;142;46;96;772;38;;
3351006;Celle, Stadt;24,651;12,785;11,866;22,870;1,764;470;2,126;5,180;35,561;15,399;20,148;9,245;1,956;;
3351007;Eicklingen;1,268;688;580;1,211;57;44;89;275;529;149;380;1,119;88;;
3351008;Eldingen;765;426;339;725;39;27;68;180;137;62;75;703;44;;
3351010;Faßberg;1,933;915;1,018;1,869;64;61;155;460;1,282;622;659;1,311;132;;
3351012;Hambühren;3,901;2,082;1,819;3,672;228;99;302;791;1,555;529;1,025;3,372;190;;
3351015;Hohne;663;375;288;644;19;16;53;130;127;48;79;615;32;;
3351016;Lachendorf;2,419;1,291;1,128;2,322;97;71;185;478;1,567;524;1,043;1,894;139;;
3351017;Langlingen;840;464;376;821;19;31;78;191;181;80;101;760;44;;
3351018;Nienhagen;2,459;1,272;1,187;2,365;94;49;143;529;1,018;257;761;2,201;148;;
3351021;Wathlingen;2,454;1,342;1,112;2,319;135;55;215;489;924;276;648;2,178;108;;
3351022;Wienhausen, Klostergemeinde;1,528;801;727;1,481;47;35;119;350;505;152;353;1,376;74;;
3351023;Wietze;3,168;1,690;1,478;2,744;422;78;327;662;2,416;870;1,543;2,297;148;;
3351024;Winsen (Aller);5,025;2,605;2,420;4,768;256;117;356;1,119;2,039;954;1,085;4,070;314;;
3351025;Eschede;2,152;1,167;985;2,066;84;67;180;474;724;416;308;1,735;127;;
3351026;Südheide;3,954;2,083;1,871;3,855;98;110;347;933;3,938;1,529;2,409;2,425;278;;
3351501;Lohheide, gemfr. Bezirk;334;187;147;321;13;8;21;82;*;53;*;281;*;;
;;;;;;;;;;;;;;;;
3351;Celle;65,644;34,479;31,165;61,703;3,914;1,573;5,490;14,004;57,180;44,330;12,829;21,302;4,302;;
;;;;;;;;;;;;;;;;
3352002;Armstorf;225;132;93;217;8;11;21;42;127;28;99;197;20;;
3352004;Belum;271;155;116;257;14;9;18;61;57;26;31;245;21;;
3352008;Bülkau;303;169;134;289;14;7;41;67;557;55;501;248;27;;
3352011;Cuxhaven, Stadt;16,766;8,475;8,291;14,591;2,169;350;1,394;3,648;19,475;12,348;7,120;4,418;1,443;;
3352020;Hechthausen;1,260;716;544;1,221;38;53;106;241;443;138;305;1,122;50;;
3352022;Hemmoor, Stadt;3,141;1,757;1,384;3,009;132;111;290;571;2,325;824;1,501;2,317;238;;
3352024;Hollnseth;340;197;143;329;11;13;39;73;68;14;54;325;14;;
3352025;Ihlienworth;485;272;213;465;20;8;30;103;249;71;178;414;30;;
3352029;Lamstedt;1,236;690;546;1,188;48;45;134;216;1,045;290;755;946;95;;
3352032;Loxstedt;6,367;3,484;2,883;5,901;465;144;468;1,413;2,561;1,073;1,487;5,293;297;;
3352036;Mittelstenahe;225;117;108;220;5;8;27;44;69;22;47;203;16;;
3352038;Neuenkirchen;534;298;236;519;15;15;43;112;242;47;195;487;23;;
3352039;Neuhaus (Oste), Flecken;371;190;181;358;13;13;30;84;142;32;110;339;22;;
3352041;Nordleda;352;205;147;341;11;11;38;84;68;30;38;322;19;;
3352042;Oberndorf;404;227;177;395;9;15;39;106;225;51;174;353;37;;
3352043;Odisheim;186;116;70;182;4;11;19;28;102;15;87;171;11;;
3352044;Osten;625;372;253;603;22;24;61;130;189;58;131;567;40;;
3352045;Osterbruch;177;101;76;*;*;7;17;36;41;10;31;167;8;;
3352046;Otterndorf, Stadt;2,605;1,323;1,282;2,476;129;61;223;603;2,532;923;1,609;1,682;245;;
3352050;Schiffdorf;5,485;2,839;2,646;5,294;190;151;389;1,281;2,792;613;2,177;4,871;260;;
3352051;Steinau;314;183;131;*;*;12;33;64;34;13;21;301;13;;
3352052;Stinstedt;218;122;96;215;3;10;22;49;29;9;20;209;11;;
3352055;Wanna;837;460;377;820;17;27;71;173;209;77;132;760;44;;
3352056;Wingst;1,143;625;518;1,131;11;31;97;231;358;95;263;1,048;65;;
3352059;Beverstedt;5,268;2,961;2,307;5,056;211;144;415;1,183;2,128;1,036;1,092;4,232;302;;
3352060;Hagen im Bremischen;4,311;2,370;1,941;4,164;147;134;299;941;1,852;860;991;3,451;283;;
3352061;Wurster Nordseeküste;6,110;3,123;2,987;5,933;177;151;473;1,306;2,806;1,551;1,255;4,559;395;;
3352062;Geestland, Stadt;11,370;5,992;5,378;11,004;363;288;843;2,611;5,989;2,709;3,277;8,661;701;;
3352063;Cadenberge;1,431;791;640;1,357;74;49;151;268;945;273;672;1,158;123;;
;;;;;;;;;;;;;;;;
3352;Cuxhaven;72,360;38,462;33,898;68,022;4,324;1,913;5,831;15,769;47,659;37,527;10,117;34,830;4,853;;
;;;;;;;;;;;;;;;;
3353001;Appel;790;422;368;716;74;22;55;156;171;38;133;752;47;;
3353002;Asendorf;820;426;394;756;64;13;62;177;144;28;116;791;34;;
3353003;Bendestorf;763;390;373;677;86;8;44;175;232;39;193;724;58;;
3353004;Brackel;758;423;335;694;64;24;40;162;468;101;367;657;74;;
3353005;Buchholz in der Nordheide, St.;15,371;8,238;7,133;14,251;1,117;277;1,068;3,187;11,280;4,029;7,245;11,341;1,093;;
3353006;Dohren;537;281;256;512;24;13;33;99;186;18;168;519;24;;
3353007;Drage;1,811;965;846;1,747;61;47;115;399;304;99;205;1,712;68;;
3353008;Drestedt;331;176;155;316;15;5;21;88;*;21;*;310;*;;
3353009;Egestorf;989;515;474;916;73;20;84;216;537;134;401;855;93;;
3353010;Eyendorf;507;276;231;483;24;7;42;107;143;45;98;462;31;;
3353011;Garlstorf;436;241;195;387;48;12;40;79;60;13;47;423;23;;
3353012;Garstedt;547;278;269;524;23;12;41;121;370;55;314;492;40;;
3353013;Gödenstorf;356;184;172;338;18;6;34;87;82;24;58;332;31;;
3353014;Halvesbostel;361;192;169;335;26;9;34;57;90;19;71;342;13;;
3353015;Handeloh;854;448;406;824;30;29;59;194;231;48;183;806;60;;
3353016;Hanstedt;2,079;1,056;1,023;1,936;142;33;161;465;1,122;374;747;1,705;172;;
3353017;Harmstorf;325;160;165;301;24;9;21;63;58;5;52;320;14;;
3353018;Heidenau;888;487;401;848;39;31;81;186;220;74;145;814;55;;
3353019;Hollenstedt;1,587;841;746;1,409;177;46;130;261;1,198;248;950;1,339;146;;
3353020;Jesteburg;2,766;1,401;1,365;2,433;332;52;191;606;2,034;421;1,612;2,345;215;;
3353021;Kakenstorf;522;274;248;510;12;11;41;109;356;45;311;477;33;;
3353022;Königsmoor;288;164;124;264;24;9;21;54;*;14;*;274;*;;
3353023;Marschacht;1,696;869;827;1,617;79;54;113;346;858;200;658;1,496;103;;
3353024;Marxen;659;339;320;579;80;12;62;123;448;61;387;598;58;;
3353025;Moisburg;755;419;336;729;25;21;59;138;109;34;75;721;31;;
3353026;Neu Wulmstorf;9,237;5,140;4,097;8,423;807;224;733;1,916;4,925;1,267;3,648;7,970;440;;
3353027;Otter;668;358;310;635;32;36;45;123;62;15;47;653;25;;
3353028;Regesbostel;439;234;205;426;13;13;31;77;92;11;81;428;16;;
3353029;Rosengarten;5,516;2,938;2,578;5,146;367;90;373;1,160;2,612;512;2,099;5,004;370;;
3353030;Salzhausen;1,715;910;805;1,595;119;57;159;364;1,526;392;1,134;1,323;198;;
3353031;Seevetal;16,808;8,920;7,888;15,429;1,370;293;1,230;3,606;12,674;2,814;9,851;13,994;1,174;;
3353032;Stelle;4,650;2,462;2,188;4,333;315;92;359;974;2,679;619;2,060;4,030;261;;
3353033;Tespe;1,852;961;891;1,778;74;43;109;485;392;104;288;1,748;74;;
3353034;Toppenstedt;856;451;405;820;35;21;61;156;277;77;200;778;34;;
3353035;Tostedt;5,404;2,955;2,449;4,968;435;146;565;1,099;3,112;1,091;2,020;4,313;313;;
3353036;Undeloh;386;198;188;351;35;7;20;80;130;41;89;345;29;;
3353037;Vierhöfen;366;179;187;355;11;8;22;72;136;17;119;349;25;;
3353038;Welle;456;254;202;441;14;4;34;92;96;25;71;431;30;;
3353039;Wenzendorf;645;362;283;544;101;17;44;114;753;98;654;547;50;;
3353040;Winsen (Luhe), Stadt;14,220;7,666;6,554;13,024;1,189;274;1,106;2,713;13,834;4,619;9,211;9,598;885;;
3353041;Wistedt;730;400;330;690;40;23;57;127;128;32;96;698;31;;
3353042;Wulfsen;679;340;339;648;31;11;43;146;145;30;115;649;31;;
;;;;;;;;;;;;;;;;
3353;Harburg;101,423;54,193;47,230;93,708;7,669;2,141;7,643;20,959;64,693;38,047;26,606;63,369;6,529;;
;;;;;;;;;;;;;;;;
3354001;Bergen an der Dumme, Flecken;508;276;232;450;58;12;46;111;254;77;176;431;36;;
3354002;Clenze, Flecken;783;407;376;723;60;15;64;166;493;157;336;626;82;;
3354003;Damnatz;94;47;47;90;4;*;5;28;21;7;14;87;8;;
3354004;Dannenberg (Elbe), Stadt;2,971;1,558;1,413;2,671;298;56;241;654;4,136;1,405;2,729;1,566;289;;
3354005;Gartow, Flecken;364;180;184;350;14;4;21;115;336;114;222;250;53;;
3354006;Göhrde;209;99;110;*;*;*;15;56;90;14;76;195;17;;
3354007;Gorleben;178;96;82;175;3;*;13;36;277;38;239;140;26;;
3354008;Gusborn;403;214;189;396;7;10;34;96;47;17;30;386;25;;
3354009;Hitzacker (Elbe), Stadt;1,517;769;748;1,462;55;33;108;383;1,445;564;881;953;152;;
3354010;Höhbeck;152;87;65;*;*;3;3;39;261;30;231;122;13;;
3354011;Jameln;365;198;167;360;5;8;24;92;118;35;83;330;27;;
3354012;Karwitz;264;133;131;260;4;4;16;56;109;8;101;256;13;;
3354013;Küsten;463;252;211;438;25;6;29;119;188;56;132;407;41;;
3354014;Langendorf;209;110;99;209;;9;12;41;50;11;39;198;14;;
3354015;Lemgow;422;227;195;418;4;8;22;105;96;33;63;389;33;;
3354016;Luckau (Wendland);202;120;82;179;23;5;15;55;119;20;98;182;27;;
3354017;Lübbow;327;185;142;*;*;14;35;68;34;9;25;318;10;;
3354018;Lüchow (Wendland), Stadt;3,085;1,632;1,453;2,918;167;62;259;712;4,684;1,448;3,234;1,637;391;;
3354019;Neu Darchau;405;211;194;397;7;12;26;124;177;92;85;313;32;;
3354020;Prezelle;155;95;60;*;*;4;8;43;46;11;35;144;9;;
3354021;Schnackenburg, Stadt;143;72;71;136;7;6;6;40;29;17;12;126;14;;
3354022;Schnega;371;196;175;357;14;14;19;92;149;55;94;316;29;;
3354023;Trebel;268;136;132;264;3;7;12;71;82;26;56;242;35;;
3354024;Waddeweitz;247;125;122;243;4;7;15;61;89;15;73;232;23;;
3354025;Woltersdorf;360;196;164;345;15;8;27;95;248;40;208;320;18;;
3354026;Wustrow (Wendland), Stadt;954;503;451;909;45;11;78;213;396;101;295;853;57;;
3354027;Zernien;537;282;255;523;14;12;40;129;291;119;171;418;48;;
;;;;;;;;;;;;;;;;
3354;Lüchow-Dannenberg;15,956;8,406;7,550;15,108;844;334;1,193;3,800;14,265;10,553;3,704;5,403;1,522;;
;;;;;;;;;;;;;;;;
3355001;Adendorf;4,047;2,090;1,957;3,879;168;72;270;914;2,259;494;1,765;3,553;251;;
3355002;Amelinghausen;1,475;757;718;1,363;109;48;121;299;918;323;595;1,152;120;;
3355003;Artlenburg, Flecken;712;362;350;685;27;22;46;147;111;33;78;679;33;;
3355004;Bardowick, Flecken;2,883;1,509;1,374;2,724;157;70;218;496;1,934;312;1,620;2,571;188;;
3355005;Barendorf;1,015;528;487;986;29;23;69;181;269;60;208;955;35;;
3355006;Barnstedt;272;130;142;265;6;7;17;79;119;17;102;255;19;;
3355007;Barum;812;421;391;791;21;21;53;166;127;34;93;778;33;;
3355008;Betzendorf;436;232;204;413;23;12;29;92;185;48;137;388;38;;
3355009;Bleckede, Stadt;3,430;1,801;1,629;3,344;84;93;277;776;1,770;884;886;2,546;220;;
3355010;Boitze;138;67;71;131;7;*;12;33;26;8;18;130;14;;
3355011;Brietlingen;1,424;747;677;1,376;47;33;85;294;351;78;272;1,346;75;;
3355012;Dahlem;159;90;69;152;7;5;10;31;169;32;137;127;14;;
3355013;Dahlenburg, Flecken;1,173;612;561;1,115;57;29;95;294;1,319;331;987;842;110;;
3355014;Deutsch Evern;1,252;636;616;1,200;51;21;69;302;446;83;362;1,169;62;;
3355015;Echem;406;212;194;399;7;15;32;63;114;25;89;381;14;;
3355016;Embsen;1,085;559;526;1,052;32;27;73;220;320;72;248;1,013;58;;
3355017;Handorf;915;467;448;891;24;26;66;178;201;65;136;850;44;;
3355018;Hittbergen;388;196;192;377;11;10;34;76;103;16;87;372;19;;
3355019;Hohnstorf (Elbe);1,028;530;498;1,009;19;31;80;221;126;39;87;989;29;;
3355020;Kirchgellersen;893;458;435;872;21;9;44;179;317;68;249;825;51;;
3355021;Lüdersburg;283;139;144;257;26;5;18;65;159;40;119;243;18;;
3355022;Lüneburg, Hansestadt;27,394;14,142;13,252;25,494;1,879;510;2,526;4,717;41,205;15,123;26,064;12,270;2,311;;
3355023;Mechtersen;232;112;120;226;6;7;20;63;54;12;42;220;19;;
3355024;Melbeck;1,346;686;660;1,300;45;32;100;304;491;85;406;1,261;58;;
3355025;Nahrendorf;432;223;209;422;9;14;39;115;127;46;81;386;29;;
3355026;Neetze;1,073;562;511;1,037;36;31;64;225;327;133;194;940;50;;
3355027;Oldendorf (Luhe);441;230;211;416;25;11;30;93;115;35;80;406;28;;
3355028;Radbruch;923;497;426;892;31;21;54;163;140;39;101;884;34;;
3355029;Rehlingen;377;203;174;365;12;10;33;74;212;87;124;290;15;;
3355030;Reinstorf;509;241;268;494;15;18;50;104;113;28;85;481;35;;
3355031;Reppenstedt;2,579;1,309;1,270;2,477;101;55;172;564;601;167;434;2,412;91;;
3355032;Rullstorf;704;363;341;690;13;18;44;140;397;38;359;666;29;;
3355033;Scharnebeck;1,330;701;629;1,274;55;36;84;281;471;75;396;1,255;75;;
3355034;Soderstorf;564;293;271;548;16;11;46;117;133;42;91;522;27;;
3355035;Südergellersen;588;295;293;565;22;9;53;116;351;24;327;564;28;;
3355036;Thomasburg;506;257;249;496;10;14;35;108;38;12;26;494;20;;
3355037;Tosterglope;180;103;77;171;9;;7;53;20;8;12;172;8;;
3355038;Vastorf;318;178;140;307;11;*;22;56;419;23;396;295;32;;
3355039;Vögelsen;803;433;370;737;66;28;53;187;268;72;194;731;40;;
3355040;Wendisch Evern;682;342;340;665;17;11;41;145;59;17;42;665;23;;
3355041;Westergellersen;771;403;368;761;10;24;51;150;127;19;108;752;16;;
3355042;Wittorf;675;357;318;644;31;19;56;115;477;50;425;625;34;;
3355049;Amt Neuhaus;1,826;1,011;815;1,786;40;51;85;511;874;490;384;1,336;135;;
;;;;;;;;;;;;;;;;
3355;Lüneburg;68,479;35,484;32,995;65,048;3,392;1,515;5,383;13,507;58,362;42,237;16,096;26,241;4,582;;
;;;;;;;;;;;;;;;;
3356001;Axstedt;441;250;191;427;14;9;32;93;58;10;48;431;13;;
3356002;Grasberg;3,268;1,785;1,483;3,095;171;98;281;678;1,496;495;1,000;2,773;186;;
3356003;Hambergen;2,365;1,263;1,102;2,317;48;68;201;472;729;232;497;2,133;100;;
3356004;Holste;489;279;210;480;9;13;25;123;81;34;47;455;22;;
3356005;Lilienthal;7,249;3,760;3,489;6,873;370;150;449;1,612;5,389;1,626;3,761;5,623;453;;
3356006;Lübberstedt;271;155;116;265;6;9;23;67;32;4;28;267;7;;
3356007;Osterholz-Scharmbeck, Stadt;12,032;6,475;5,557;11,494;534;293;1,040;2,717;9,233;3,606;5,625;8,425;643;;
3356008;Ritterhude;5,808;3,132;2,676;5,559;247;134;375;1,240;3,528;569;2,959;5,239;309;;
3356009;Schwanewede;7,785;4,187;3,598;7,487;297;209;589;1,652;3,646;1,198;2,448;6,587;398;;
3356010;Vollersode;1,156;647;509;1,107;49;36;96;258;272;117;155;1,039;50;;
3356011;Worpswede;3,388;1,783;1,605;3,276;112;80;220;816;1,930;672;1,258;2,715;245;;
;;;;;;;;;;;;;;;;
3356;Osterholz;44,252;23,716;20,536;42,380;1,857;1,099;3,331;9,728;26,394;15,646;10,743;28,604;2,426;;
;;;;;;;;;;;;;;;;
3357001;Ahausen;759;401;358;733;26;22;46;175;112;42;70;717;36;;
3357002;Alfstedt;370;201;169;362;8;10;41;67;199;65;134;305;23;;
3357003;Anderlingen;337;197;140;326;11;5;33;87;94;30;64;307;25;;
3357004;Basdahl;571;334;237;551;19;21;66;117;270;60;210;511;35;;
3357005;Bötersen;423;237;186;418;5;16;31;81;116;16;100;407;21;;
3357006;Bothel;1,037;536;501;1,011;25;31;79;206;517;132;385;905;49;;
3357007;Breddorf;421;233;188;397;24;14;32;98;252;50;202;371;34;;
3357008;Bremervörde, Stadt;7,143;3,957;3,186;6,697;442;184;717;1,545;7,987;3,233;4,749;3,909;521;;
3357009;Brockel;514;260;254;494;20;21;42;110;333;69;264;445;35;;
