Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;1248864841;;;1516790986;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;1248871803;;;0.10498292;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;1248169613;;;165604043;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;1247808456;;;0.118038617;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;416627655;;;0.701702178;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;416627655;;;1530691385;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;416627655;;;0.894075811;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;416627655;;;125486958;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;416627655;;;0.952462614;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;416627655;;;1296797752;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;1247020912;;;1301177263;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;124886837;;;2573143721;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;1248864841;;;1634492159;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;1248871803;;;2147957563;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;1248169613;;;1691872835;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
