ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	27.865058013764134	27.865058013764134	27.865058013764134	27.865058013764134
1	27.863954460413748	27.863954460413748	27.86450623708894	27.865058013764134
2	27.86181491326053	27.86181491326053	27.86343646351233	27.865058013764134
3	27.86089489804997	27.860760257450245	27.862839720863935	27.865058013764134
4	27.859789069359078	27.859654428759352	27.86225209914686	27.865058013764134
5	27.860400841117222	27.859654428759352	27.86235406110655	27.865058013764134
6	27.860400841117222	27.859654428759352	27.86235406110655	27.865058013764134
7	27.860400841117222	27.859654428759352	27.86235406110655	27.865058013764134
8	27.862242077206343	27.859788634339754	27.862705668981544	27.865058013764134
9	27.86156777237368	27.859788634339754	27.862593284842756	27.865058013764134
10	27.861190016985063	27.859788634339754	27.86254152745833	27.865058013764134
