id,count,relative_density,density,area
263445,840.0,5.411692674975232,8.388358487078753E-4,1001387.8177642479
270305,770.0,-3.3695302191645875,7.68957409493252E-4,1001355.8494838291
269777,830.0,4.14468130643312,8.287533376535218E-4,1001504.2622332091
263446,300.0,-62.353519742924604,2.995798323311151E-4,1001402.5232126457
263444,460.0,-42.27370438831815,4.5936921173909246E-4,1001373.1618157853
269778,490.0,-38.51792191221095,4.892566454853819E-4,1001519.3549673314
277296,0.0,-100.0,0.0,1001441.4048602028
277297,240.0,-69.88443272170082,2.3965099882328734E-4,1001456.289264081
270833,840.0,5.4301613801988085,8.389828173375179E-4,1001212.399874541
270831,1780.0,123.41779277876226,0.0017778943594034956,1001184.3451695357
270834,570.0,-28.45911239218017,5.693017506023495E-4,1001226.501406173
270832,910.0,14.21761121317724,9.089108087355184E-4,1001198.34779608
277298,430.0,-46.043746565724916,4.293683034024763E-4,1001471.2231725489
263447,120.0,-84.94162977144684,1.1983016732094014E-4,1001417.2781600563
262915,0.0,-100.0,0.0,1001159.4574466847
270307,13820.0,1634.278043826726,0.013800884492714244,1001385.0929116788
263443,80.0,-89.9604978010005,7.989146302459093E-5,1001358.5553612363
277294,120.0,-84.94154716341652,1.198308246918205E-4,1001411.7845605635
277295,0.0,-100.0,0.0,1001426.5699615509
270830,920.0,15.47597415747487,9.18924498124011E-4,1001170.3919943201
270303,2380.0,198.68466120045784,0.0023768463907191412,1001326.8039925393
270302,6370.0,699.4322461725499,0.006361651252202999,1001312.3554665323
270308,3940.0,394.42512408029154,0.003934492541156657,1001399.7888636799
262916,20.0,-97.48966020799735,1.997656006210397E-5,1001173.3720832396
270304,1150.0,44.32033074345727,0.0011484595688854655,1001341.3019981447
270306,17510.0,2097.3699501313054,0.017486036323569622,1001370.4464514967
278348,50.0,-93.72620237352703,4.992507209661057E-5,1001500.8071143981
263977,0.0,-100.0,0.0,1001675.4652080312
277820,0.0,-100.0,0.0,1001382.1519439251
277292,0.0,-100.0,0.0,1001382.3622369701
270829,540.0,-32.219682566862176,5.393762177316134E-4,1001156.4882690045
262914,20.0,-97.48959055097353,1.997711437260988E-5,1001145.5922493741
270300,1880.0,135.9459614853768,0.0018775899127437875,1001283.6068407986
264495,0.0,-100.0,0.0,1001738.1192178411
269782,350.0,-56.08689870455419,3.4944779520939265E-4,1001580.2211322479
269244,260.0,-67.37834813138932,2.595936972175684E-4,1001565.1488722049
269780,210.0,-73.65133601088148,2.0967506885389317E-4,1001549.688992034
269246,50.0,-93.72679727454964,4.992033804584709E-5,1001595.781544583
270835,170.0,-78.66354560881273,1.6978935043604886E-4,1001240.6523931576
277300,370.0,-53.57391760861779,3.694453740064277E-4,1001501.2395135922
270837,730.0,-8.381358025486392,7.290747292629237E-4,1001269.1027406913
278346,90.0,-88.70682583379572,8.986782297029494E-5,1001470.7937205594
263451,0.0,-100.0,0.0,1001476.7929731202
277818,150.0,-81.1758276097774,1.49797334835174E-4,1001352.9290427563
277822,300.0,-62.353859947587175,2.995771250805281E-4,1001411.5727940117
263979,0.0,-100.0,0.0,1001706.8062194438
269248,40.0,-94.9815922948308,3.9935041167658885E-5,1001626.6123795491
269772,6750.0,747.022952932975,0.00674036437105102,1001429.5412560133
269776,1310.0,64.3753997588718,0.0013080520240632014,1001489.2190073202
269774,3480.0,336.6744209680573,0.0034749291015674926,1001459.2811203601
269770,5270.0,561.3248365673304,0.005262632317878049,1001399.9994065559
271367,270.0,-66.10889830772686,2.69695612794499E-4,1001128.6323954144
263967,310.0,-61.10326744477996,3.0952897953669925E-4,1001521.7330022079
263969,710.0,-10.916634700427796,7.088997286783953E-4,1001552.0831467321
263971,840.0,5.391189486464295,8.386726902469935E-4,1001582.631422773
277828,670.0,-15.931129955378434,6.689958216611929E-4,1001501.023334217
263975,0.0,-100.0,0.0,1001644.322414017
277824,0.0,-100.0,0.0,1001441.1916274149
263973,0.0,-100.0,0.0,1001613.3778264623
277826,580.0,-27.2217820899829,5.791480682909945E-4,1001471.008461652
270313,4150.0,420.73913581665636,0.004143891857377131,1001474.0111067316
264492,0.0,-100.0,0.0,1001690.8868737795
270297,120.0,-84.93897641746705,1.1985128194666212E-4,1001240.8549238887
263965,60.0,-92.4713734919918,5.991063843289289E-5,1001491.580951974
263436,420.0,-47.28730407918922,4.194724313625472E-4,1001257.6956147967
264493,0.0,-100.0,0.0,1001706.5814249425
270840,8150.0,922.8216872676084,0.00813931999708444,1001312.1492851228
278345,80.0,-89.96147328387698,7.988370041319719E-5,1001455.86128586
276762,470.0,-41.0245728414163,4.693094403295204E-4,1001471.4378427903
263452,740.0,-7.14695962210081,7.38897715746409E-4,1001491.7954543647
276759,470.0,-41.02194302115132,4.693303676807273E-4,1001426.7824231826
269784,510.0,-36.01430130872602,5.091797361831312E-4,1001610.9514157369
270839,2670.0,235.08873311487667,0.002666539495780185,1001297.7509709836
269240,900.0,12.927943368274656,8.986480039766025E-4,1001504.4778571974
269241,890.0,11.671505463616286,8.886496334983619E-4,1001519.5713256777
262400,1870.0,134.726476682349,0.0018678856043907442,1001131.9727526598
276763,10.0,-98.74522245162615,9.985157841788932E-6,1001486.4219921443
268711,130.0,-83.69017856442801,1.297888550975698E-4,1001626.8338469544
270298,470.0,-41.01182763159167,4.694108630334814E-4,1001255.0560988543
270827,810.0,1.6732850967595427,8.090866793879429E-4,1001128.8291295909
270310,5700.0,615.2639783428997,0.0056918644516356885,1001429.3292529082
270314,1850.0,132.13324795229803,0.0018472494380655038,1001489.004071576
277285,280.0,-64.85901862363828,2.7964179484489006E-4,1001280.9428408532
268710,50.0,-93.72689505033038,4.991955997438331E-5,1001611.3929220925
268714,0.0,-100.0,0.0,1001673.4538849129
264488,0.0,-100.0,0.0,1001628.6042260367
269237,1990.0,149.70744612675796,0.0019870998385944877,1001459.4945604564
270309,4950.0,521.1594738841163,0.004943007945666142,1001414.5343100224
269245,40.0,-94.98136095084992,3.9936882136337276E-5,1001580.440442177
