id,count,relative_density,density,area
263445,360.0,-9.405196607694116,3.595010780176608E-4,1001387.8177642479
270305,540.0,35.89654344641742,5.392688326316313E-4,1001355.8494838291
269777,780.0,96.26591827604284,7.788284377948759E-4,1001504.2622332091
263446,360.0,-9.406526979023832,3.5949579879733816E-4,1001402.5232126457
263444,80.0,-79.86752681680976,7.989029769375521E-5,1001373.1618157853
269778,830.0,108.84391959208162,8.287408484752388E-4,1001519.3549673314
277296,10.0,-97.48361234257173,9.985606697973468E-6,1001441.4048602028
277297,0.0,-100.0,0.0,1001456.289264081
270833,90.0,-77.3473309756326,8.98910161433055E-5,1001212.399874541
270831,1110.0,179.39074670062246,0.001108686931987573,1001184.3451695357
270834,130.0,-67.27993892016255,1.2984075013737796E-4,1001226.501406173
270832,270.0,-32.04103911864436,2.6967683336108787E-4,1001198.34779608
277298,280.0,-29.543243469690477,2.7958866268068224E-4,1001471.2231725489
263447,130.0,-67.28617231275106,1.2981601459768514E-4,1001417.2781600563
262915,0.0,-100.0,0.0,1001159.4574466847
270307,3250.0,717.87197833919,0.0032455046744805567,1001385.0929116788
263443,40.0,-89.93361657585777,3.9945731512295465E-5,1001358.5553612363
277294,30.0,-92.45061373448785,2.9957706172955125E-5,1001411.7845605635
277295,30.0,-92.45072519618309,2.9957263867236747E-5,1001426.5699615509
270830,220.0,-44.62448566045187,2.1974281476878525E-4,1001170.3919943201
270303,790.0,98.81737678609345,7.889532137261015E-4,1001326.8039925393
270302,1280.0,222.13913217486993,0.0012783223866279182,1001312.3554665323
270308,2000.0,403.29844660490323,0.0019972043356125163,1001399.7888636799
262916,0.0,-100.0,0.0,1001173.3720832396
270304,230.0,-42.11729799481723,2.296919137770931E-4,1001341.3019981447
270306,2900.0,629.8041318572824,0.0028960311443947404,1001370.4464514967
278348,50.0,-87.41880798833951,4.992507209661057E-5,1001500.8071143981
263977,0.0,-100.0,0.0,1001675.4652080312
