id,count,relative_density,density,area
263445,150.0,13.039152681327984,1.49792115840692E-4,1001387.8177642479
270305,300.0,126.08552291140866,2.9959379590646185E-4,1001355.8494838291
269777,200.0,50.7013462236815,1.9969959943458358E-4,1001504.2622332091
263446,90.0,-32.17750436917699,8.987394969933454E-5,1001402.5232126457
263444,70.0,-47.24762335075183,6.990401048203581E-5,1001373.1618157853
269778,140.0,5.489352625198012,1.397876129958234E-4,1001519.3549673314
277296,50.0,-62.32229867997905,4.992803348986734E-5,1001441.4048602028
277297,40.0,-69.85828693967086,3.9941833137214555E-5,1001456.289264081
270833,100.0,-24.627361493818942,9.9878906825895E-5,1001212.399874541
270831,100.0,-24.625249438083195,9.988170558446605E-5,1001184.3451695357
270834,160.0,20.59452310167867,1.5980400016908056E-4,1001226.501406173
270832,160.0,20.59791420913526,1.5980849384360763E-4,1001198.34779608
277298,70.0,-47.2527887209662,6.989716567017056E-5,1001471.2231725489
263447,130.0,-2.035616412577136,1.2981601459768514E-4,1001417.2781600563
262915,20.0,-84.92467514093907,1.9976837706759686E-5,1001159.4574466847
270307,440.0,231.58241679292183,4.393914020835215E-4,1001385.0929116788
263443,90.0,-32.17452640549541,8.987789590266479E-5,1001358.5553612363
277294,20.0,-84.92847369141663,1.9971804115303415E-5,1001411.7845605635
277295,60.0,-54.78608863760396,5.9914527734473494E-5,1001426.5699615509
270830,90.0,-32.16177905541766,8.98947878599576E-5,1001170.3919943201
270303,340.0,156.2376917719272,3.3954948438844876E-4,1001326.8039925393
270302,390.0,193.92394640842025,3.8948885217569384E-4,1001312.3554665323
270308,330.0,148.68316301387276,3.2953871537606523E-4,1001399.7888636799
262916,40.0,-69.84976932551676,3.995312012420794E-5,1001173.3720832396
270304,320.0,141.16139464716366,3.195713582985643E-4,1001341.3019981447
270306,440.0,231.58726665510997,4.393978288047192E-4,1001370.4464514967
278348,50.0,-62.32453346638703,4.992507209661057E-5,1001500.8071143981
263977,30.0,-77.39866167093037,2.994982011840482E-5,1001675.4652080312
277820,20.0,-84.92802769908455,1.9972395115266593E-5,1001382.1519439251
277292,80.0,-39.7121234569604,7.988956368403517E-5,1001382.3622369701
270829,50.0,-62.31157607831781,4.994224238255679E-5,1001156.4882690045
262914,60.0,-54.7733990732973,5.993134311782963E-5,1001145.5922493741
270300,260.0,95.95492365699513,2.5966669006031106E-4,1001283.6068407986
264495,20.0,-84.93338351892365,1.996529793197451E-5,1001738.1192178411
269782,100.0,-24.65504141211914,9.984222720268363E-5,1001580.2211322479
269244,90.0,-32.18851681115078,8.985935672915829E-5,1001565.1488722049
269780,130.0,-2.0485678873542144,1.2979885214764816E-4,1001549.688992034
269246,40.0,-69.86248477713232,3.9936270436677675E-5,1001595.781544583
270835,120.0,-9.55538598644441,1.1985130619015212E-4,1001240.6523931576
277300,40.0,-69.85963978624687,3.994004043312732E-5,1001501.2395135922
