1	2925
2	2298
3	2674
4	2464
5	3089
6	1091
7	1806
8	1207
9	1276
10	1494
11	1122
12	994
13	1480
14	968
15	1022
16	2634
17	2718
18	2152
19	2327
20	2461
21	3229
22	2330
23	2053
24	2142
25	1255
26	1949
27	2694
28	1707
29	2125
30	1573
31	1549
32	1196
33	1009
34	1184
35	805
36	1154
37	1916
38	905
39	1419
40	979
41	1030
42	1289
43	1392
44	1857
45	1440
46	1740
47	1782
48	1218
49	1757
50	1699
51	1086
52	1057
53	1543
54	2368
55	2263
56	1992
57	1184
58	1428
59	1324
60	1181
61	2075
62	1508
63	1239
64	1357
65	1502
66	2039
67	1903
68	1369
69	1866
70	1455
71	1344
72	1397
73	1761
74	1657
75	1241
76	1677
77	1664
78	1446
79	1920
80	1588
81	1566
82	1801
83	1298
84	1952
85	1367
86	1328
87	1844
88	1249
89	1574
90	2075
91	2806
92	2748
93	2649
94	2227
95	1713
96	2139
97	1874
98	2002
99	2269
100	1260
101	1324
102	2819
103	2850
104	2329
105	1912
106	1219
107	1499
108	1803
109	1990
110	1783
111	1112
112	1085
113	1354
114	1676
115	1549
116	1362
117	1367
118	1656
119	1291
120	1630
121	1778
122	1823
123	2839
124	2777
125	1735
126	3195
127	3309
128	3081
129	1566
130	2463
131	1305
132	2125
133	2570
134	2653
135	1921
136	2716
137	1977
138	2694
139	1203
140	2024
141	1232
142	1203
143	1380
144	1702
145	2023
146	2441
147	1459
148	1350
149	1037
150	1627
151	1729
152	1589
153	1348
154	2902
155	1451
156	2167
157	2523
158	1733
159	1509
160	1577
161	1519
162	1946
163	1565
164	1288
165	982
166	1569
167	1212
168	1353
169	1247
170	1421
171	1169
172	1101
173	1107
174	2190
175	1951
176	2051
177	1558
178	1228
179	1945
180	1137
181	1003
182	1662
183	1412
184	1065
185	1457
186	1624
187	979
188	1016
189	1204
190	1209
191	1344
192	975
193	984
194	1081
195	1167
196	947
197	1452
198	1428
199	1002
200	1061
201	1507
202	1393
203	1008
204	1073
205	1001
206	1080
207	1483
208	1168
209	1309
210	1191
211	1317
212	1842
213	1827
214	2018
215	1154
216	1546
217	1251
218	1330
219	1194
220	1805
221	1311
222	1003
223	1315
224	1410
225	1409
226	1761
227	1261
228	1196
229	1088
230	1593
231	1187
232	1773
233	1886
234	1793
235	1088
236	1462
237	2049
238	1387
239	2452
240	1055
241	1294
242	1439
243	1540
244	2211
245	2014
246	1583
247	2008
248	1718
249	2338
250	2413
251	1429
252	1601
253	2101
254	2021
255	2101
256	1631
257	1393
258	1961
259	1163
260	1639
261	1574
262	1913
263	1408
264	990
265	1771
266	1408
267	2490
268	2889
269	2475
270	3405
271	3028
272	2861
273	4068
274	1624
275	3685
276	2307
277	1981
278	1293
279	2899
280	2839
281	3024
282	2906
283	3431
284	2082
285	3170
286	2871
287	2162
288	2707
289	6265
290	5989
291	5369
292	6520
293	3982
294	3314
295	3673
296	3094
297	2612
298	1549
299	3224
300	2532
301	1848
302	2055
303	1828
304	1969
305	2574
306	2308
307	2043
308	2837
309	2609
310	2202
311	2381
312	2185
313	2670
314	2439
315	3596
316	1872
317	2266
318	2673
319	3590
320	1316
321	2132
322	2471
323	3257
324	1928
325	2471
326	2614
327	3392
328	1181
329	1455
330	1578
331	1270
332	1905
333	1242
334	1127
335	1323
336	3576
337	3592
338	3260
339	3323
340	2731
341	2447
342	3228
343	3061
344	3321
345	3222
346	2821
347	3610
348	3194
349	4081
350	3914
351	4096
352	3974
353	4975
354	3514
355	5212
356	2741
357	4097
358	2879
359	3137
360	1340
361	3006
362	2478
363	3027
364	2048
365	3496
366	3749
367	2059
368	4089
369	3717
370	4568
371	3614
372	1538
373	1404
374	3533
375	4656
376	1058
377	1588
378	906
379	2882
380	2850
381	3164
382	1138
383	1318
384	1704
385	1284
386	932
387	1794
388	3433
389	2672
390	1462
391	2287
392	2998
393	5054
394	2800
395	3116
396	3227
397	2688
398	3018
399	1140
400	2566
401	1448
402	1420
403	1527
404	1238
405	1777
406	1632
407	1238
408	1853
409	1420
410	1241
411	1007
412	1152
413	1267
414	1121
415	1125
416	1802
417	1611
418	1845
419	1270
420	1917
421	2053
422	1045
423	1152
424	1060
425	1184
426	916
427	1023
428	1069
429	1098
430	1632
431	1180
432	1049
433	1605
434	1594
435	1167
436	894
437	969
438	1037
439	2101
440	1585
441	2098
442	2375
443	1723
444	2468
445	1302
446	1251
447	1090
448	1329
449	1731
450	1065
451	2336
452	1585
453	1483
454	1439
455	1141
456	2274
457	1420
458	1217
459	1692
460	1592
461	1763
462	2053
463	1462
464	1791
465	2168
466	2243
467	2654
468	2209
469	3486
470	2642
471	2125
472	2849
473	2231
474	2576
475	3433
476	2263
477	2055
478	1995
479	1515
480	2429
481	2302
482	2046
483	2140
484	1733
485	2396
486	1645
487	3459
488	2861
489	1735
490	2097
491	1340
492	1860
493	3122
494	1719
495	2105
496	2622
497	3718
498	2356
499	3256
500	3758
