ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	99.01589103845156	99.01589103845156	99.01589103845156	99.01589103845156
1	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
2	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
3	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
4	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
5	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
6	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
7	99.0148805196735	99.0148805196735	99.01538577906254	99.01589103845156
8	99.0153856312698	99.0148805196735	99.01546996432857	99.01589103845156
9	99.0153856312698	99.0148805196735	99.01551205696161	99.01589103845156
10	99.0153856312698	99.0148805196735	99.01551205696161	99.01589103845156
